         90776509 function calls (89858460 primitive calls) in 17.888 seconds

   Ordered by: cumulative time
   List reduced from 5463 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   18.749   18.749 /private/tmp/apsgo-v7-stage24-final.N3VIbl/src/apsgo_scheduler/core/width_optimization.py:861(run_width_optimization)
        1    0.000    0.000   18.749   18.749 /private/tmp/apsgo-v7-stage24-final.N3VIbl/src/apsgo_scheduler/core/width_optimization.py:743(_scan_width_families)
        1    0.004    0.004   18.748   18.748 /private/tmp/apsgo-v7-stage24-final.N3VIbl/src/apsgo_scheduler/core/width_optimization.py:810(_scan_critical_families)
       41    0.002    0.000   18.607    0.454 /private/tmp/apsgo-v7-stage24-final.N3VIbl/src/apsgo_scheduler/core/width_optimization.py:726(_scan_width_batch)
     1866    0.003    0.000   14.117    0.008 /private/tmp/apsgo-v7-stage24-final.N3VIbl/src/apsgo_scheduler/core/width_optimization.py:703(_try_width_recipe)
     1587    0.025    0.000   11.242    0.007 /private/tmp/apsgo-v7-stage24-final.N3VIbl/src/apsgo_scheduler/core/width_optimization.py:571(_try_repaired_parts)
      802    0.116    0.000   10.177    0.013 /private/tmp/apsgo-v7-stage24-final.N3VIbl/src/apsgo_scheduler/core/neighborhoods.py:465(try_complete_candidate)
   176314    0.641    0.000    8.355    0.000 /private/tmp/apsgo-v7-stage24-final.N3VIbl/src/apsgo_scheduler/core/rules/rule_set.py:162(_evaluate)
      535    0.002    0.000    8.313    0.016 /private/tmp/apsgo-v7-stage24-final.N3VIbl/src/apsgo_scheduler/core/width_optimization.py:106(_try_intra_move)
      808    0.125    0.000    7.153    0.009 /private/tmp/apsgo-v7-stage24-final.N3VIbl/src/apsgo_scheduler/core/evaluation.py:399(_evaluate_plan)
248292/93066    0.034    0.000    4.577    0.000 {built-in method builtins.next}
      794    0.141    0.000    4.491    0.006 /private/tmp/apsgo-v7-stage24-final.N3VIbl/src/apsgo_scheduler/core/evaluation.py:209(_screen_candidate_plan)
148502/2199    0.074    0.000    4.478    0.002 /private/tmp/apsgo-v7-stage24-final.N3VIbl/src/apsgo_scheduler/core/width_optimization.py:264(_round_robin)
    15612    0.061    0.000    4.463    0.000 /private/tmp/apsgo-v7-stage24-final.N3VIbl/src/apsgo_scheduler/core/width_optimization.py:435(original_stream)
   150854    0.019    0.000    4.078    0.000 /private/tmp/apsgo-v7-stage24-final.N3VIbl/src/apsgo_scheduler/core/width_optimization.py:391(proposals)
   112169    0.039    0.000    3.877    0.000 /private/tmp/apsgo-v7-stage24-final.N3VIbl/src/apsgo_scheduler/core/rules/rule_set.py:196(evaluate_edge)
       82    0.003    0.000    3.693    0.045 /private/tmp/apsgo-v7-stage24-final.N3VIbl/src/apsgo_scheduler/core/evaluation.py:177(_evaluate_candidate_plan)
   120179    0.023    0.000    3.634    0.000 /private/tmp/apsgo-v7-stage24-final.N3VIbl/src/apsgo_scheduler/core/width_optimization.py:356(node_target)
