         209729394 function calls (203055349 primitive calls) in 29.964 seconds

   Ordered by: cumulative time
   List reduced from 3348 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   31.140   31.140 /private/tmp/apsgo-v7-numeric-stage3.DGQBQE/src/apsgo_scheduler/core/neighborhoods.py:1040(run_local_search)
        4    0.000    0.000   31.140    7.785 /private/tmp/apsgo-v7-numeric-stage3.DGQBQE/tools/profile_solver_search.py:113(wrapped)
        1    0.019    0.019   21.044   21.044 /private/tmp/apsgo-v7-numeric-stage3.DGQBQE/src/apsgo_scheduler/core/neighborhoods.py:673(improve_whole_chain)
     2263    0.208    0.000   15.335    0.007 /private/tmp/apsgo-v7-numeric-stage3.DGQBQE/src/apsgo_scheduler/core/neighborhoods.py:411(try_complete_candidate)
     2263    0.013    0.000   14.318    0.006 /private/tmp/apsgo-v7-numeric-stage3.DGQBQE/src/apsgo_scheduler/core/evaluation.py:163(_evaluate_candidate_plan)
     2263    0.251    0.000   14.286    0.006 /private/tmp/apsgo-v7-numeric-stage3.DGQBQE/src/apsgo_scheduler/core/evaluation.py:320(_evaluate_plan)
228689/176752    1.097    0.000   10.710    0.000 /private/tmp/apsgo-v7-numeric-stage3.DGQBQE/src/apsgo_scheduler/core/contracts.py:118(sum_weights)
     1483    0.007    0.000    9.856    0.007 /private/tmp/apsgo-v7-numeric-stage3.DGQBQE/src/apsgo_scheduler/core/neighborhoods.py:638(_candidate_merged_sequences)
     4075    0.817    0.000    8.845    0.002 /private/tmp/apsgo-v7-numeric-stage3.DGQBQE/src/apsgo_scheduler/core/resource_facts.py:261(derive_evaluation_resource_view)
     9725    0.008    0.000    8.659    0.001 /private/tmp/apsgo-v7-numeric-stage3.DGQBQE/src/apsgo_scheduler/core/neighborhoods.py:624(_boundary_join)
     9283    0.020    0.000    8.639    0.001 /private/tmp/apsgo-v7-numeric-stage3.DGQBQE/src/apsgo_scheduler/core/virtual_material.py:121(bridge)
   214503    0.677    0.000    8.625    0.000 /private/tmp/apsgo-v7-numeric-stage3.DGQBQE/src/apsgo_scheduler/core/rules/rule_set.py:131(_evaluate)
     9088    0.042    0.000    8.354    0.001 /private/tmp/apsgo-v7-numeric-stage3.DGQBQE/src/apsgo_scheduler/core/virtual_material.py:156(_numeric_bridge)
   263921    1.090    0.000    7.916    0.000 /private/tmp/apsgo-v7-numeric-stage3.DGQBQE/src/apsgo_scheduler/core/contracts.py:104(sum_decimals)
    16591    0.164    0.000    7.775    0.000 /private/tmp/apsgo-v7-numeric-stage3.DGQBQE/src/apsgo_scheduler/core/_bridge_numeric.py:434(_scan)
        1    0.021    0.021    7.250    7.250 /private/tmp/apsgo-v7-numeric-stage3.DGQBQE/src/apsgo_scheduler/core/neighborhoods.py:881(improve_virtual_weight_fill)
   211669    0.535    0.000    6.639    0.000 /Users/miles/dev/dev-py/APSGOV7/docs/implementation/evidence/apsgo_v7_numpy_numba_virtual_bridge/stage_04_comparison/probe_bridge.py:103(block)
     5704    0.082    0.000    4.863    0.001 /private/tmp/apsgo-v7-numeric-stage3.DGQBQE/src/apsgo_scheduler/core/rules/rule_set.py:162(evaluate_complete_chain)
     7503    0.002    0.000    4.832    0.001 /private/tmp/apsgo-v7-numeric-stage3.DGQBQE/src/apsgo_scheduler/core/_bridge_numeric.py:467(scan_double)
   870193    0.481    0.000    3.827    0.000 {built-in method builtins.min}
 16066512    2.655    0.000    3.368    0.000 /private/tmp/apsgo-v7-numeric-stage3.DGQBQE/src/apsgo_scheduler/core/contracts.py:88(require_decimal)
  8124722    0.992    0.000    3.345    0.000 /private/tmp/apsgo-v7-numeric-stage3.DGQBQE/src/apsgo_scheduler/core/contracts.py:111(<genexpr>)
