         209729487 function calls (203055442 primitive calls) in 29.619 seconds

   Ordered by: cumulative time
   List reduced from 3348 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   30.774   30.774 /private/tmp/apsgo-v7-numeric-stage3.DGQBQE/src/apsgo_scheduler/core/neighborhoods.py:1040(run_local_search)
        4    0.000    0.000   30.774    7.693 /private/tmp/apsgo-v7-numeric-stage3.DGQBQE/tools/profile_solver_search.py:113(wrapped)
        1    0.019    0.019   20.781   20.781 /private/tmp/apsgo-v7-numeric-stage3.DGQBQE/src/apsgo_scheduler/core/neighborhoods.py:673(improve_whole_chain)
     2263    0.206    0.000   15.139    0.007 /private/tmp/apsgo-v7-numeric-stage3.DGQBQE/src/apsgo_scheduler/core/neighborhoods.py:411(try_complete_candidate)
     2263    0.013    0.000   14.126    0.006 /private/tmp/apsgo-v7-numeric-stage3.DGQBQE/src/apsgo_scheduler/core/evaluation.py:163(_evaluate_candidate_plan)
     2263    0.245    0.000   14.095    0.006 /private/tmp/apsgo-v7-numeric-stage3.DGQBQE/src/apsgo_scheduler/core/evaluation.py:320(_evaluate_plan)
228689/176752    1.091    0.000   10.600    0.000 /private/tmp/apsgo-v7-numeric-stage3.DGQBQE/src/apsgo_scheduler/core/contracts.py:118(sum_weights)
     1483    0.007    0.000    9.766    0.007 /private/tmp/apsgo-v7-numeric-stage3.DGQBQE/src/apsgo_scheduler/core/neighborhoods.py:638(_candidate_merged_sequences)
     4075    0.803    0.000    8.791    0.002 /private/tmp/apsgo-v7-numeric-stage3.DGQBQE/src/apsgo_scheduler/core/resource_facts.py:261(derive_evaluation_resource_view)
     9725    0.007    0.000    8.605    0.001 /private/tmp/apsgo-v7-numeric-stage3.DGQBQE/src/apsgo_scheduler/core/neighborhoods.py:624(_boundary_join)
     9283    0.019    0.000    8.585    0.001 /private/tmp/apsgo-v7-numeric-stage3.DGQBQE/src/apsgo_scheduler/core/virtual_material.py:121(bridge)
   214503    0.664    0.000    8.456    0.000 /private/tmp/apsgo-v7-numeric-stage3.DGQBQE/src/apsgo_scheduler/core/rules/rule_set.py:131(_evaluate)
     9088    0.041    0.000    8.306    0.001 /private/tmp/apsgo-v7-numeric-stage3.DGQBQE/src/apsgo_scheduler/core/virtual_material.py:156(_numeric_bridge)
   263921    1.073    0.000    7.820    0.000 /private/tmp/apsgo-v7-numeric-stage3.DGQBQE/src/apsgo_scheduler/core/contracts.py:104(sum_decimals)
    16591    0.164    0.000    7.736    0.000 /private/tmp/apsgo-v7-numeric-stage3.DGQBQE/src/apsgo_scheduler/core/_bridge_numeric.py:434(_scan)
        1    0.020    0.020    7.175    7.175 /private/tmp/apsgo-v7-numeric-stage3.DGQBQE/src/apsgo_scheduler/core/neighborhoods.py:881(improve_virtual_weight_fill)
   211669    0.529    0.000    6.616    0.000 /Users/miles/dev/dev-py/APSGOV7/docs/implementation/evidence/apsgo_v7_numpy_numba_virtual_bridge/stage_04_comparison/probe_bridge.py:104(block)
     5704    0.081    0.000    4.763    0.001 /private/tmp/apsgo-v7-numeric-stage3.DGQBQE/src/apsgo_scheduler/core/rules/rule_set.py:162(evaluate_complete_chain)
     7503    0.002    0.000    4.760    0.001 /private/tmp/apsgo-v7-numeric-stage3.DGQBQE/src/apsgo_scheduler/core/_bridge_numeric.py:467(scan_double)
   870193    0.472    0.000    3.782    0.000 {built-in method builtins.min}
 16066512    2.632    0.000    3.342    0.000 /private/tmp/apsgo-v7-numeric-stage3.DGQBQE/src/apsgo_scheduler/core/contracts.py:88(require_decimal)
  8124722    0.981    0.000    3.309    0.000 /private/tmp/apsgo-v7-numeric-stage3.DGQBQE/src/apsgo_scheduler/core/contracts.py:111(<genexpr>)
   115607    0.035    0.000    3.214    0.000 /private/tmp/apsgo-v7-numeric-stage3.DGQBQE/src/apsgo_scheduler/core/rules/rule_set.py:156(evaluate_edge)
   211681    0.062    0.000    3.107    0.000 /Users/miles/anaconda3/envs/aps_3.10.18/lib/python3.10/site-packages/numba/core/dispatcher.py:283(nopython_signatures)
   211681    0.386    0.000    3.038    0.000 /Users/miles/anaconda3/envs/aps_3.10.18/lib/python3.10/site-packages/numba/core/dispatcher.py:285(<listcomp>)
     9088    0.002    0.000    2.980    0.000 /private/tmp/apsgo-v7-numeric-stage3.DGQBQE/src/apsgo_scheduler/core/_bridge_numeric.py:462(scan_single)
     2263    0.001    0.000    2.697    0.001 /private/tmp/apsgo-v7-numeric-stage3.DGQBQE/src/apsgo_scheduler/core/rules/rule_set.py:192(evaluate_plan)
8953689/5975891    1.254    0.000    2.678    0.000 /Users/miles/anaconda3/envs/aps_3.10.18/lib/python3.10/site-packages/numba/core/types/abstract.py:121(__hash__)
        1    0.000    0.000    2.636    2.636 /Users/miles/anaconda3/envs/aps_3.10.18/lib/python3.10/site-packages/numba/core/dispatcher.py:344(_compile_for_args)
     13/1    0.000    0.000    2.634    2.634 /Users/miles/anaconda3/envs/aps_3.10.18/lib/python3.10/site-packages/numba/core/dispatcher.py:862(compile)
      7/1    0.000    0.000    2.633    2.633 /Users/miles/anaconda3/envs/aps_3.10.18/lib/python3.10/site-packages/numba/core/dispatcher.py:79(compile)
      7/1    0.000    0.000    2.633    2.633 /Users/miles/anaconda3/envs/aps_3.10.18/lib/python3.10/site-packages/numba/core/dispatcher.py:86(_compile_cached)
      7/1    0.001    0.000    2.633    2.633 /Users/miles/anaconda3/envs/aps_3.10.18/lib/python3.10/site-packages/numba/core/dispatcher.py:101(_compile_core)
      7/1    0.000    0.000    2.633    2.633 /Users/miles/anaconda3/envs/aps_3.10.18/lib/python3.10/site-packages/numba/core/compiler.py:713(compile_extra)
