         259027265 function calls (251154175 primitive calls) in 57.801 seconds

   Ordered by: cumulative time
   List reduced from 1331 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   59.251   59.251 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/app/service.py:57(solve_request)
        1    0.000    0.000   57.947   57.947 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/solver.py:463(solve)
        1    0.000    0.000   57.920   57.920 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_solver.py:41(solve_numeric)
        1    0.000    0.000   52.364   52.364 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_refinement.py:1373(run_numeric_serial_search)
        1    0.006    0.006   34.838   34.838 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_refinement.py:1285(improve_numeric_refinement)
      269    0.032    0.000   34.609    0.129 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_refinement.py:1238(_scan_family)
    15364    0.026    0.000   31.767    0.002 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_refinement.py:1203(_try_recipe)
    13495    0.128    0.000   31.680    0.002 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_refinement.py:1014(_try_segment_recipe)
    13893    0.092    0.000   31.147    0.002 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_refinement.py:951(_try_repaired_parts)
     5487    0.201    0.000   20.234    0.004 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_evaluation.py:655(_evaluate_numeric_candidate)
        2    0.000    0.000   17.438    8.719 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_search.py:1434(_run_numeric_local_search)
     4341    0.009    0.000   17.037    0.004 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_refinement.py:868(_try_overlay_candidate)
     4341    0.003    0.000   16.772    0.004 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_evaluation.py:755(evaluate_numeric_overlay_candidate)
    59087    0.038    0.000   14.764    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_search.py:722(_join_with_bridge)
    25146    0.045    0.000   13.699    0.001 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_resources.py:272(choose_virtual_bridge)
    15461    0.034    0.000   11.988    0.001 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_resources.py:137(extend_resource_workspace)
    59682    0.046    0.000   10.884    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/contracts.py:75(fingerprint)
    59682    0.101    0.000   10.755    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/contracts.py:39(canonical_json)
     5489    1.048    0.000   10.010    0.002 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_evaluation.py:300(_delivery)
  2285724    3.299    0.000    9.806    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_rules.py:468(_edge_rule)
  3760125    3.224    0.000    9.689    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_units.py:41(checked_sum)
5968684/59682    3.034    0.000    9.349    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/contracts.py:42(encode)
167554/49633    0.207    0.000    9.064    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/contracts.py:59(<listcomp>)
   341418    0.559    0.000    8.841    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_rules.py:557(evaluate_numeric_edge)
1851560/74014    0.599    0.000    8.749    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/contracts.py:61(<listcomp>)
  1707090    0.650    0.000    7.634    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_rules.py:564(<genexpr>)
    15461    0.045    0.000    6.068    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_rules.py:435(rebind)
        2    0.097    0.048    5.430    2.715 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_search.py:1386(improve_numeric_chain_order)
    15484    0.474    0.000    5.209    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_state.py:559(extend_numeric_task)
   175491    0.128    0.000    5.105    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_search.py:699(_edge_allowed)
     8967    0.082    0.000    4.867    0.001 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_rules.py:702(_evaluate_numeric_rows)
258594/249627    0.106    0.000    4.665    0.000 {method 'extend' of 'list' objects}
 55061650    4.644    0.000    4.644    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_units.py:35(int64)
        2    0.017    0.008    4.633    2.316 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_search.py:829(improve_numeric_whole_chain)
     7625    0.022    0.000    4.470    0.001 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_rules.py:745(evaluate_numeric_chain)
        1    0.000    0.000    4.450    4.450 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_search.py:1287(improve_numeric_controlled_split)
        2    0.015    0.008    3.929    1.965 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_search.py:1030(improve_numeric_virtual_weight_fill)
        1    0.124    0.124    3.618    3.618 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_construction.py:137(build_numeric_construction_graph)
     1264    0.003    0.000    3.604    0.003 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_search.py:621(_try_prepared_candidate)
     1146    0.001    0.000    3.467    0.003 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_evaluation.py:729(evaluate_numeric_candidate)
     5489    0.855    0.000    3.464    0.001 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_evaluation.py:354(<listcomp>)
        2    0.034    0.017    3.446    1.723 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_search.py:961(improve_numeric_real_node_relocation)
     1311    0.009    0.000    3.207    0.002 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_search.py:515(_build_plan)
     1313    0.721    0.001    3.186    0.002 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_state.py:712(build)
  1150065    0.324    0.000    3.146    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_rules.py:710(<genexpr>)
 44983986    2.173    0.000    3.086    0.000 {built-in method builtins.isinstance}
      552    0.004    0.000    2.930    0.005 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_search.py:674(_try_candidate)
    51778    1.090    0.000    2.909    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_evaluation.py:781(preview_numeric_chain_order_quality)
     3937    0.007    0.000    2.899    0.001 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_search.py:741(_resource_whole_chain_candidate)
281050/249940    0.021    0.000    2.750    0.000 {built-in method builtins.next}
6215544/6192914    0.973    0.000    2.747    0.000 {built-in method builtins.any}
    15440    0.019    0.000    2.720    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_refinement.py:329(_round_robin)
    25146    0.283    0.000    2.695    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_resources.py:247(_choose_static_bridge)
    65733    0.029    0.000    2.602    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_refinement.py:700(source_stream)
  2715183    1.274    0.000    2.601    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_rules.py:225(__post_init__)
    34122    0.038    0.000    2.522    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_refinement.py:453(_source_recipe_stream)
    14410    0.006    0.000    2.454    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_refinement.py:360(_alternate)
     5489    0.051    0.000    2.399    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_evaluation.py:496(_assemble_evaluation)
  2971926    0.526    0.000    2.255    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_units.py:192(score_seconds)
    65727    1.784    0.000    2.200    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_resources.py:205(_prototype_edge_mask)
  4086693    0.969    0.000    2.028    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_units.py:49(checked_product)
  5792237    0.863    0.000    1.979    0.000 /Users/miles/anaconda3/envs/aps_3.10.18/lib/python3.10/dataclasses.py:1210(is_dataclass)
  2920148    0.588    0.000    1.910    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_evaluation.py:368(<genexpr>)
  3595878    1.246    0.000    1.839    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_units.py:53(round_half_up_ratio)
     6404    0.005    0.000    1.606    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_refinement.py:498(moves)
      981    0.029    0.000    1.599    0.002 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_refinement.py:344(_direct_slots)
     4742    0.023    0.000    1.516    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_evaluation.py:452(_node_metrics)
     5489    1.216    0.000    1.499    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_rules.py:754(evaluate_numeric_static_plan_rules)
      552    0.003    0.000    1.405    0.003 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_search.py:551(apply_numeric_candidate)
   519173    0.173    0.000    1.395    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_rules.py:462(_violation)
  1435751    0.201    0.000    1.379    0.000 {method 'all' of 'numpy.ndarray' objects}
    62769    0.406    0.000    1.353    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_rules.py:585(_chain_rule)
  1188272    0.739    0.000    1.330    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/budget.py:109(permit)
    59687    0.024    0.000    1.306    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/contracts.py:69(dump)
     5489    0.273    0.000    1.286    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_evaluation.py:419(_chain_facts)
    59687    0.052    0.000    1.282    0.000 /Users/miles/anaconda3/envs/aps_3.10.18/lib/python3.10/json/__init__.py:183(dumps)
  1856796    1.239    0.000    1.239    0.000 {method 'reduce' of 'numpy.ufunc' objects}
  1038271    0.117    0.000    1.221    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/budget.py:128(allows_search)
    59687    0.043    0.000    1.197    0.000 /Users/miles/anaconda3/envs/aps_3.10.18/lib/python3.10/json/encoder.py:182(encode)
  1435751    0.238    0.000    1.178    0.000 /Users/miles/anaconda3/envs/aps_3.10.18/lib/python3.10/site-packages/numpy/_core/_methods.py:67(_all)


         259027265 function calls (251154175 primitive calls) in 57.801 seconds

   Ordered by: internal time
   List reduced from 1331 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 55061650    4.644    0.000    4.644    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_units.py:35(int64)
  2285724    3.299    0.000    9.806    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_rules.py:468(_edge_rule)
  3760125    3.224    0.000    9.689    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_units.py:41(checked_sum)
5968684/59682    3.034    0.000    9.349    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/contracts.py:42(encode)
 44983986    2.173    0.000    3.086    0.000 {built-in method builtins.isinstance}
    65727    1.784    0.000    2.200    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_resources.py:205(_prototype_edge_mask)
  2715183    1.274    0.000    2.601    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_rules.py:225(__post_init__)
  3595878    1.246    0.000    1.839    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_units.py:53(round_half_up_ratio)
  1856796    1.239    0.000    1.239    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     5489    1.216    0.000    1.499    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_rules.py:754(evaluate_numeric_static_plan_rules)
    59682    1.145    0.000    1.145    0.000 /Users/miles/anaconda3/envs/aps_3.10.18/lib/python3.10/json/encoder.py:204(iterencode)
    51778    1.090    0.000    2.909    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_evaluation.py:781(preview_numeric_chain_order_quality)
     5489    1.048    0.000   10.010    0.002 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_evaluation.py:300(_delivery)
6215544/6192914    0.973    0.000    2.747    0.000 {built-in method builtins.any}
  4086693    0.969    0.000    2.028    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_units.py:49(checked_product)
  5810307    0.919    0.000    0.919    0.000 {built-in method builtins.hasattr}
  5792237    0.863    0.000    1.979    0.000 /Users/miles/anaconda3/envs/aps_3.10.18/lib/python3.10/dataclasses.py:1210(is_dataclass)
     5489    0.855    0.000    3.464    0.001 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_evaluation.py:354(<listcomp>)
  1188272    0.739    0.000    1.330    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/budget.py:109(permit)
     1313    0.721    0.001    3.186    0.002 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_state.py:712(build)
  1707090    0.650    0.000    7.634    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_rules.py:564(<genexpr>)
     6357    0.641    0.000    0.829    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_refinement.py:527(<genexpr>)
  7830882    0.633    0.000    0.730    0.000 {built-in method builtins.max}
1851560/74014    0.599    0.000    8.749    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/contracts.py:61(<listcomp>)
  2920148    0.588    0.000    1.910    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_evaluation.py:368(<genexpr>)
   341418    0.559    0.000    8.841    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_rules.py:557(evaluate_numeric_edge)
  2624033    0.545    0.000    0.564    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_evaluation.py:470(<genexpr>)
     5489    0.533    0.000    0.533    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_evaluation.py:350(<listcomp>)
  2971926    0.526    0.000    2.255    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_units.py:192(score_seconds)
   520633    0.485    0.000    0.842    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_rules.py:192(__post_init__)
    15484    0.474    0.000    5.209    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_state.py:559(extend_numeric_task)
  5796155    0.452    0.000    0.913    0.000 /Users/miles/anaconda3/envs/aps_3.10.18/lib/python3.10/abc.py:117(__instancecheck__)
  5796155    0.452    0.000    0.461    0.000 {built-in method _abc._abc_instancecheck}
  1152510    0.429    0.000    0.429    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_evaluation.py:799(<genexpr>)
    62769    0.406    0.000    1.353    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_rules.py:585(_chain_rule)
   505347    0.371    0.000    0.371    0.000 {built-in method numpy.array}
   325164    0.366    0.000    0.707    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_state.py:575(append)
  1432998    0.341    0.000    0.341    0.000 {built-in method numpy.asarray}
  1150065    0.324    0.000    3.146    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_rules.py:710(<genexpr>)
    25146    0.283    0.000    2.695    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_resources.py:247(_choose_static_bridge)
  3754989    0.278    0.000    0.309    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_rules.py:227(<genexpr>)
    15486    0.274    0.000    0.460    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_state.py:144(__post_init__)
     5489    0.273    0.000    1.286    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_evaluation.py:419(_chain_facts)
  6194712    0.271    0.000    0.271    0.000 {built-in method builtins.getattr}
    51778    0.268    0.000    0.268    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_evaluation.py:819(<listcomp>)
  1395305    0.256    0.000    0.256    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_state.py:771(<genexpr>)
  1395305    0.252    0.000    0.252    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_state.py:776(<genexpr>)
  1435751    0.238    0.000    1.178    0.000 /Users/miles/anaconda3/envs/aps_3.10.18/lib/python3.10/site-packages/numpy/_core/_methods.py:67(_all)
   291271    0.238    0.000    0.552    0.000 /Users/miles/anaconda3/envs/aps_3.10.18/lib/python3.10/site-packages/numpy/_core/numeric.py:2475(array_equal)
  1194850    0.223    0.000    0.265    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/budget.py:20(_finite_time)


