         824111499 function calls (812481023 primitive calls) in 146.174 seconds

   Ordered by: cumulative time
   List reduced from 329 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000  152.683  152.683 /private/tmp/apsgo-v7-perf-stage2-source.fsFALg/src/apsgo_scheduler/core/neighborhoods.py:1026(run_local_search)
        4    0.000    0.000  152.683   38.171 /tmp/apsgo-v7-perf-stage2-source.fsFALg/tools/profile_solver_search.py:111(wrapped)
        1    0.024    0.024  101.386  101.386 /private/tmp/apsgo-v7-perf-stage2-source.fsFALg/src/apsgo_scheduler/core/neighborhoods.py:659(improve_whole_chain)
     2263    0.251    0.000   86.021    0.038 /private/tmp/apsgo-v7-perf-stage2-source.fsFALg/src/apsgo_scheduler/core/neighborhoods.py:404(try_complete_candidate)
     2263    0.717    0.000   84.931    0.038 /private/tmp/apsgo-v7-perf-stage2-source.fsFALg/src/apsgo_scheduler/core/evaluation.py:241(evaluate_plan)
  2620650    7.670    0.000   69.030    0.000 /private/tmp/apsgo-v7-perf-stage2-source.fsFALg/src/apsgo_scheduler/core/rules/rule_set.py:131(_evaluate)
     1483    0.010    0.000   60.414    0.041 /private/tmp/apsgo-v7-perf-stage2-source.fsFALg/src/apsgo_scheduler/core/neighborhoods.py:624(_candidate_merged_sequences)
     9725    0.013    0.000   59.153    0.006 /private/tmp/apsgo-v7-perf-stage2-source.fsFALg/src/apsgo_scheduler/core/neighborhoods.py:610(_boundary_join)
     9283    0.659    0.000   59.129    0.006 /private/tmp/apsgo-v7-perf-stage2-source.fsFALg/src/apsgo_scheduler/core/virtual_material.py:115(bridge)
    53505    0.909    0.000   55.624    0.001 /private/tmp/apsgo-v7-perf-stage2-source.fsFALg/src/apsgo_scheduler/core/rules/rule_set.py:162(evaluate_complete_chain)
  1212646    0.722    0.000   44.297    0.000 /private/tmp/apsgo-v7-perf-stage2-source.fsFALg/src/apsgo_scheduler/core/virtual_material.py:106(_connected)
  1389701    0.288    0.000   41.165    0.000 /private/tmp/apsgo-v7-perf-stage2-source.fsFALg/src/apsgo_scheduler/core/compatibility.py:247(allows)
  1389701    1.258    0.000   40.877    0.000 /private/tmp/apsgo-v7-perf-stage2-source.fsFALg/src/apsgo_scheduler/core/compatibility.py:212(_decision)
  2779402    4.909    0.000   36.916    0.000 /private/tmp/apsgo-v7-perf-stage2-source.fsFALg/src/apsgo_scheduler/core/compatibility.py:173(semantic_fingerprint)
  1275421    0.379    0.000   35.232    0.000 /private/tmp/apsgo-v7-perf-stage2-source.fsFALg/src/apsgo_scheduler/core/rules/rule_set.py:156(evaluate_edge)
        1    0.025    0.025   33.329   33.329 /private/tmp/apsgo-v7-perf-stage2-source.fsFALg/src/apsgo_scheduler/core/neighborhoods.py:867(improve_virtual_weight_fill)
   463448    0.362    0.000   27.941    0.000 /private/tmp/apsgo-v7-perf-stage2-source.fsFALg/src/apsgo_scheduler/core/contracts.py:64(fingerprint)
   463448    0.347    0.000   27.137    0.000 /private/tmp/apsgo-v7-perf-stage2-source.fsFALg/src/apsgo_scheduler/core/contracts.py:28(canonical_json)
1672723/1620786    2.554    0.000   24.200    0.000 /private/tmp/apsgo-v7-perf-stage2-source.fsFALg/src/apsgo_scheduler/core/contracts.py:118(sum_weights)
12041983/463448    7.913    0.000   22.279    0.000 /private/tmp/apsgo-v7-perf-stage2-source.fsFALg/src/apsgo_scheduler/core/contracts.py:31(encode)
   463448    0.787    0.000   19.989    0.000 /private/tmp/apsgo-v7-perf-stage2-source.fsFALg/src/apsgo_scheduler/core/contracts.py:48(<listcomp>)
  1851358    4.160    0.000   18.446    0.000 /private/tmp/apsgo-v7-perf-stage2-source.fsFALg/src/apsgo_scheduler/core/contracts.py:104(sum_decimals)
        1    0.004    0.004   15.976   15.976 /private/tmp/apsgo-v7-perf-stage2-source.fsFALg/src/apsgo_scheduler/core/neighborhoods.py:990(improve_chain_order)
  9420098    3.753    0.000   14.233    0.000 /private/tmp/apsgo-v7-perf-stage2-source.fsFALg/src/apsgo_scheduler/core/rules/base.py:188(__post_init__)
   107010    1.100    0.000   12.724    0.000 /private/tmp/apsgo-v7-perf-stage2-source.fsFALg/src/apsgo_scheduler/core/rules/concrete.py:46(_continuous_weight_contribution)
   455702    2.394    0.000   12.668    0.000 /private/tmp/apsgo-v7-perf-stage2-source.fsFALg/src/apsgo_scheduler/core/virtual_material.py:60(materialize)
 37578967    6.255    0.000   12.188    0.000 {built-in method builtins.any}
  1235956    0.313    0.000   11.467    0.000 /private/tmp/apsgo-v7-perf-stage2-source.fsFALg/src/apsgo_scheduler/core/rules/rule_set.py:153(evaluate_node)
  2780688    0.943    0.000   10.903    0.000 /private/tmp/apsgo-v7-perf-stage2-source.fsFALg/src/apsgo_scheduler/core/contracts.py:50(<listcomp>)
 18923650    5.827    0.000   10.823    0.000 /private/tmp/apsgo-v7-perf-stage2-source.fsFALg/src/apsgo_scheduler/core/contracts.py:126(freeze_tuple)
169345927    7.319    0.000    9.547    0.000 {built-in method builtins.isinstance}
     4075    0.856    0.000    9.102    0.002 /private/tmp/apsgo-v7-perf-stage2-source.fsFALg/src/apsgo_scheduler/core/resource_facts.py:261(derive_evaluation_resource_view)
    53505    0.030    0.000    8.765    0.000 /private/tmp/apsgo-v7-perf-stage2-source.fsFALg/src/apsgo_scheduler/core/rules/concrete.py:730(evaluate)
  1275421    3.309    0.000    8.743    0.000 /private/tmp/apsgo-v7-perf-stage2-source.fsFALg/src/apsgo_scheduler/core/rules/concrete.py:243(evaluate)
 33238139    6.562    0.000    8.392    0.000 /private/tmp/apsgo-v7-perf-stage2-source.fsFALg/src/apsgo_scheduler/core/contracts.py:88(require_decimal)
