artifact_kind,publishable,node_id,source_order_id,source_resource_id,source_period,assigned_period,chain_id,chain_sequence,node_sequence,weight,width,thickness,min_temperature,max_temperature,grade,grade_class,hot_roll_grade,soft_hard_class,material_role,split_lineage,virtual_lineage,width_warning,thickness_warning,temperature_warning,chain_warning
diagnostic_candidate,True,0030124583-000010,0030124583-000010,0030124583-000010,BR_00000006,BR_00000001,numeric-chain-000023,1,1,24,1388,1.6,700,720,DC51D+Z,普碳,SPHC,软钢,actual_transition,,,,,,
diagnostic_candidate,True,0030125101-000020,0030125101-000020,0030125101-000020,BR_00000006,BR_00000001,numeric-chain-000023,1,2,120,1360,1.5,700,720,DC51D+Z-Q,深冲钢（PD）,SPHCQ,软钢,normal_real,,,,,,
diagnostic_candidate,True,0010019881-000060,0010019881-000060,0010019881-000060,BR_00000006,BR_00000001,numeric-chain-000023,1,3,96,1355,1.95,700,840,DC51D+Z,普碳,SPHC,软钢,actual_transition,,,,,,
diagnostic_candidate,True,0002002054-000060,0002002054-000060,0002002054-000060,BR_00000001,BR_00000001,numeric-chain-000023,1,4,50,1300,2,820,840,DX53D+Z-MD,IF钢,SPHETI-5,软钢,normal_real,,,,,,
diagnostic_candidate,True,0002002058-000020,0002002058-000020,0002002058-000020,BR_00000001,BR_00000001,numeric-chain-000023,1,5,18.91,1260,1.5,820,840,DX53D+Z-CD,IF钢,SPHETI-5,软钢,normal_real,,,,,,
diagnostic_candidate,True,0005000571-000030,0005000571-000030,0005000571-000030,BR_00000006,BR_00000001,numeric-chain-000023,1,6,7,1256,2,830,850,CR180BH,加磷高强、烘烤硬化钢,H180BH,软钢,normal_real,,,,,,
diagnostic_candidate,True,0002002059-000020,0002002059-000020,0002002059-000020,BR_00000001,BR_00000001,numeric-chain-000023,1,7,20.43,1243,1.5,820,840,DX53D+Z-CD,IF钢,SPHETI-5,软钢,normal_real,,,,,,
diagnostic_candidate,True,0005000563-000090,0005000563-000090,0005000563-000090,BR_00000006,BR_00000001,numeric-chain-000023,1,8,21,1245,1.75,830,850,CR3,IF钢,SPHETI-36,软钢,normal_real,,,,,,
diagnostic_candidate,True,0002002053-000100,0002002053-000100,0002002053-000100,BR_00000001,BR_00000001,numeric-chain-000023,1,9,92,1219,1.5,820,840,DX53D+Z-MD,IF钢,SPHETI-5,软钢,normal_real,,,,,,
diagnostic_candidate,True,0005000548-000050,0005000548-000050,0005000548-000050,BR_00000001,BR_00000001,numeric-chain-000023,1,10,7,1214,1.5,820,840,CR240BH,加磷高强、烘烤硬化钢,H240BH,软钢,normal_real,,,,,,
diagnostic_candidate,True,0030119945-000140,0030119945-000140,0030119945-000140,BR_00000001,BR_00000001,numeric-chain-000023,1,11,24,1195,1.3,830,850,DC54D+Z,IF钢,SPHETI-5,软钢,normal_real,,,,,,
diagnostic_candidate,True,0030124772-000010,0030124772-000010,0030124772-000010,BR_00000006,BR_00000001,numeric-chain-000023,1,12,24,1200,1.5,700,840,DC51D+Z,普碳,SPHC,软钢,actual_transition,,,,,,
diagnostic_candidate,True,0002002170-000050,0002002170-000050,0002002170-000050,BR_00000006,BR_00000001,numeric-chain-000023,1,13,23,1175,1.2,770,810,DC51D+Z,普碳,SPHC,软钢,normal_real,,,,,,
diagnostic_candidate,True,0030118093-000020,0030118093-000020,0030118093-000020,BR_00000001,BR_00000001,numeric-chain-000023,1,14,135.54,1172,1,700,840,DX51D+Z,普碳,SPHC,软钢,normal_real,,,,,,
diagnostic_candidate,True,0030120939-000080,0030120939-000080,0030120939-000080,BR_00000002,BR_00000001,numeric-chain-000023,1,15,46,1150,1.2,810,830,HC180YD+Z,加磷高强、烘烤硬化钢,H180YD,软钢,normal_real,,,,,,
diagnostic_candidate,True,0002002053-000050,0002002053-000050,0002002053-000050,BR_00000001,BR_00000001,numeric-chain-000023,1,16,13.67,1100,1.2,820,840,DX53D+Z-MD,IF钢,SPHETI-5,软钢,normal_real,,,,,,
diagnostic_candidate,True,0030120939-000070,0030120939-000070,0030120939-000070,BR_00000002,BR_00000001,numeric-chain-000023,1,17,23,1100,1.2,810,830,HC180YD+Z,加磷高强、烘烤硬化钢,H180YD,软钢,normal_real,,,,,,
diagnostic_candidate,True,0030120939-000060,0030120939-000060,0030120939-000060,BR_00000002,BR_00000001,numeric-chain-000023,1,18,23.45,1080,1.2,810,830,HC180YD+Z,加磷高强、烘烤硬化钢,H180YD,软钢,normal_real,,,,,,
