artifact_kind,publishable,node_id,source_order_id,source_resource_id,source_period,assigned_period,chain_id,chain_sequence,node_sequence,weight,width,thickness,min_temperature,max_temperature,grade,grade_class,hot_roll_grade,soft_hard_class,material_role,split_lineage,virtual_lineage,width_warning,thickness_warning,temperature_warning,chain_warning,business_warning
diagnostic_candidate,True,0005000547-000730,0005000547-000730,0005000547-000730,BR_00000030,BR_00000003,numeric-chain-000090,1,1,21,1565,0.8,830,850,CR3,IF钢,SPHETI-36,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0030108542-000140,0030108542-000140,0030108542-000140,BR_00000018,BR_00000003,numeric-chain-000090,1,2,48,1560,0.8,820,840,DX53D+Z-LG,IF钢,SPHETI-5,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0002001750-000350,0002001750-000350,0002001750-000350,BR_00000018,BR_00000003,numeric-chain-000090,1,3,24,1540,0.8,830,850,DC56D+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0030118809-000030,0030118809-000030,0030118809-000030,BR_00000030,BR_00000003,numeric-chain-000090,1,4,23,1535,0.65,820,840,HC180BD+Z,加磷高强、烘烤硬化钢,H180BH1,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0002001750-000070,0002001750-000070,0002001750-000070,BR_00000018,BR_00000003,numeric-chain-000090,1,5,74,1535,0.65,830,850,DC53D+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0002001617-000040,0002001617-000040,0002001617-000040,BR_00000012,BR_00000003,numeric-chain-000090,1,6,54,1535,0.65,830,850,DC53D+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0002001603-000140,0002001603-000140,0002001603-000140,BR_00000012,BR_00000003,numeric-chain-000090,1,7,23,1530,0.65,830,850,DC54D+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0002002195-000200,0002002195-000200,0002002195-000200,BR_00000036,BR_00000003,numeric-chain-000090,1,8,24,1515,0.65,830,850,DC54D+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0002002170-000320,0002002170-000320,0002002170-000320,BR_00000036,BR_00000003,numeric-chain-000090,1,9,23,1515,0.7,830,850,DC53D+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0030118809-000040,0030118809-000040,0030118809-000040,BR_00000030,BR_00000003,numeric-chain-000090,1,10,23,1500,0.65,820,840,HC180BD+Z,加磷高强、烘烤硬化钢,H180BH1,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0030104028-000030,0030104028-000030,0030104028-000030,BR_00000012,BR_00000003,numeric-chain-000090,1,11,23,1500,0.65,820,840,HC180BD+Z,加磷高强、烘烤硬化钢,H180BH1,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0030103543-000040,0030103543-000040,0030103543-000040,BR_00000012,BR_00000003,numeric-chain-000090,1,12,96,1500,0.6,820,840,DC53D+Z,IF钢,SPHETI-5,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0030108542-000060,0030108542-000060,0030108542-000060,BR_00000018,BR_00000003,numeric-chain-000090,1,13,96,1500,0.8,700,840,DC51D+Z,普碳,SPHC,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0002002026-000010,0002002026-000010,0002002026-000010,BR_00000030,BR_00000003,numeric-chain-000090,1,14,23,1498,0.8,830,850,DC53D+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0002001906-000020,0002001906-000020,0002001906-000020,BR_00000025,BR_00000003,numeric-chain-000090,1,15,23,1495,0.7,830,850,DC53D+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0030118966-000010,0030118966-000010,0030118966-000010,BR_00000030,BR_00000003,numeric-chain-000090,1,16,96,1488,0.65,830,850,DC56D+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0030121652-000080,0030121652-000080,0030121652-000080,BR_00000032,BR_00000003,numeric-chain-000090,1,17,24,1474,0.7,830,850,DC54D+Z,IF钢,SPHETI-5,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0030108542-000150,0030108542-000150,0030108542-000150,BR_00000018,BR_00000003,numeric-chain-000090,1,18,72,1473,0.8,820,840,DX53D+Z-LG,IF钢,SPHETI-5,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0030098173-000010,0030098173-000010,0030098173-000010,BR_00000006,BR_00000003,numeric-chain-000090,1,19,26,1470,0.7,830,850,SCG4+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0002002021-000030,0002002021-000030,0002002021-000030,BR_00000030,BR_00000003,numeric-chain-000090,1,20,23,1464,0.65,830,850,DC53D+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0030112575-000010,0030112575-000010,0030112575-000010,BR_00000024,BR_00000003,numeric-chain-000090,1,21,208,1455,0.7,830,850,SCG4+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0030108260-000010,0030108260-000010,0030108260-000010,BR_00000018,BR_00000003,numeric-chain-000090,1,22,182,1455,0.7,830,850,SCG4+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0030102674-000010,0030102674-000010,0030102674-000010,BR_00000012,BR_00000003,numeric-chain-000090,1,23,260,1455,0.7,830,850,SCG4+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0030118991-000010,0030118991-000010,0030118991-000010,BR_00000030,BR_00000003,numeric-chain-000090,1,24,208,1455,0.7,830,850,SCG4+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,,
