artifact_kind,publishable,node_id,source_order_id,source_resource_id,source_period,assigned_period,chain_id,chain_sequence,node_sequence,weight,width,thickness,min_temperature,max_temperature,grade,grade_class,hot_roll_grade,soft_hard_class,material_role,split_lineage,virtual_lineage,width_warning,thickness_warning,temperature_warning,chain_warning,business_warning
diagnostic_candidate,False,0030119938-000340,0030119938-000340,0030119938-000340,BR_00000001,BR_00000001,numeric-chain-000013,1,1,48,1500,2.49,820,840,DC53D+Z,IF钢,SPHETI-5,软钢,normal_real,,,,,,,
diagnostic_candidate,False,virtual-000025,,,,BR_00000001,numeric-chain-000013,1,2,20.00,1500,2.00,700,840,SPHC,,SPHC,,virtual_sphc,,"{""accepted_sequence"":25,""prototype_id"":""virtual_sphc:1500x2"",""purpose"":""edge_bridge"",""related_partition_id"":null}",,,,,
diagnostic_candidate,False,0030122647-000590,0030122647-000590,0030122647-000590,BR_00000006,BR_00000001,numeric-chain-000013,1,3,48,1500,2.49,820,840,DC53D+Z,IF钢,SPHETI-5,软钢,normal_real,,,,,,,
diagnostic_candidate,False,virtual-000038,,,,BR_00000001,numeric-chain-000013,1,4,20.00,1500,2.00,700,840,SPHC,,SPHC,,virtual_sphc,,"{""accepted_sequence"":38,""prototype_id"":""virtual_sphc:1500x2"",""purpose"":""edge_bridge"",""related_partition_id"":null}",,,,,
diagnostic_candidate,False,virtual-000026,,,,BR_00000001,numeric-chain-000013,1,5,20.00,1500,1.50,700,840,SPHC,,SPHC,,virtual_sphc,,"{""accepted_sequence"":26,""prototype_id"":""virtual_sphc:1500x1.5"",""purpose"":""edge_bridge"",""related_partition_id"":null}",,,,,
diagnostic_candidate,False,0010019881-000050,0010019881-000050,0010019881-000050,BR_00000006,BR_00000001,numeric-chain-000013,1,6,26,1500,1.45,700,840,DC51D+Z,普碳,SPHC,软钢,actual_transition,,,,,,,
diagnostic_candidate,False,virtual-000020,,,,BR_00000001,numeric-chain-000013,1,7,20.00,1500,1.50,700,840,SPHC,,SPHC,,virtual_sphc,,"{""accepted_sequence"":20,""prototype_id"":""virtual_sphc:1500x1.5"",""purpose"":""edge_bridge"",""related_partition_id"":null}",,,,,
diagnostic_candidate,False,virtual-000021,,,,BR_00000001,numeric-chain-000013,1,8,20.00,1500,2.00,700,840,SPHC,,SPHC,,virtual_sphc,,"{""accepted_sequence"":21,""prototype_id"":""virtual_sphc:1500x2"",""purpose"":""edge_bridge"",""related_partition_id"":null}",,,,,
diagnostic_candidate,False,0030122647-000580,0030122647-000580,0030122647-000580,BR_00000006,BR_00000001,numeric-chain-000013,1,9,48,1363,2.49,820,840,DC53D+Z,IF钢,SPHETI-5,软钢,normal_real,,,,,,,
diagnostic_candidate,False,0030119938-000330,0030119938-000330,0030119938-000330,BR_00000001,BR_00000001,numeric-chain-000013,1,10,95.14,1300,2.49,820,840,DC53D+Z,IF钢,SPHETI-5,软钢,normal_real,,,,,,,
diagnostic_candidate,False,0030122647-000570,0030122647-000570,0030122647-000570,BR_00000006,BR_00000001,numeric-chain-000013,1,11,48,1300,2.49,820,840,DC53D+Z,IF钢,SPHETI-5,软钢,normal_real,,,,,,,
diagnostic_candidate,False,virtual-000051,,,,BR_00000001,numeric-chain-000013,1,12,20.00,1250,2.50,700,840,SPHC,,SPHC,,virtual_sphc,,"{""accepted_sequence"":51,""prototype_id"":""virtual_sphc:1250x2.5"",""purpose"":""edge_bridge"",""related_partition_id"":null}",,,,,
diagnostic_candidate,False,0030122898-000040,0030122898-000040,0030122898-000040,BR_00000006,BR_00000001,numeric-chain-000013,1,13,240,1250,2.5,700,720,DC51D+Z,普碳,SPHC,软钢,actual_transition,,,,,,,
diagnostic_candidate,False,0030122899-000050,0030122899-000050,0030122899-000050,BR_00000006,BR_00000001,numeric-chain-000013,1,14,240,1250,2.5,700,720,DC51D+Z,普碳,SPHC,软钢,actual_transition,,,,,,,
diagnostic_candidate,False,virtual-000034,,,,BR_00000001,numeric-chain-000013,1,15,20.00,1250,2.50,700,840,SPHC,,SPHC,,virtual_sphc,,"{""accepted_sequence"":34,""prototype_id"":""virtual_sphc:1250x2.5"",""purpose"":""edge_bridge"",""related_partition_id"":null}",,,,,
diagnostic_candidate,False,0030122647-000560,0030122647-000560,0030122647-000560,BR_00000006,BR_00000001,numeric-chain-000013,1,16,72,1250,2.49,820,840,DC53D+Z,IF钢,SPHETI-5,软钢,normal_real,,,,,,,
diagnostic_candidate,False,virtual-000035,,,,BR_00000001,numeric-chain-000013,1,17,20.00,1250,2.50,760,840,SPHC,,SPHC,,virtual_sphc,,"{""accepted_sequence"":35,""prototype_id"":""virtual_sphc:1250x2.5"",""purpose"":""edge_bridge"",""related_partition_id"":null}",,,,,
diagnostic_candidate,False,0030122647-000550,0030122647-000550,0030122647-000550,BR_00000006,BR_00000001,numeric-chain-000013,1,18,72,1200,2.49,820,840,DC53D+Z,IF钢,SPHETI-5,软钢,normal_real,,,,,,,
diagnostic_candidate,False,0002002074-000010,0002002074-000010,0002002074-000010,BR_00000006,BR_00000001,numeric-chain-000013,1,19,150,1200,2,820,840,DX53D+Z-MD,IF钢,SPHETI-5,软钢,normal_real,,,,,,,
diagnostic_candidate,False,virtual-000023,,,,BR_00000001,numeric-chain-000013,1,20,20.00,1250,1.50,820,840,SPHC,,SPHC,,virtual_sphc,,"{""accepted_sequence"":23,""prototype_id"":""virtual_sphc:1250x1.5"",""purpose"":""edge_bridge"",""related_partition_id"":null}",,,,,
diagnostic_candidate,False,0002002053-000070,0002002053-000070,0002002053-000070,BR_00000001,BR_00000001,numeric-chain-000013,1,21,25.67,1219,1.2,820,840,DX53D+Z-MD,IF钢,SPHETI-5,软钢,normal_real,,,,,,,
diagnostic_candidate,False,0030119945-000140,0030119945-000140,0030119945-000140,BR_00000001,BR_00000001,numeric-chain-000013,1,22,24,1195,1.3,830,850,DC54D+Z,IF钢,SPHETI-5,软钢,normal_real,,,,,,,
diagnostic_candidate,False,0030119597-000010,0030119597-000010,0030119597-000010,BR_00000001,BR_00000001,numeric-chain-000013,1,23,7.08,1155,1.2,830,850,DC54D+Z,IF钢,SPHETI-5,软钢,normal_real,,,,,,,
