artifact_kind,publishable,node_id,source_order_id,source_resource_id,source_period,assigned_period,chain_id,chain_sequence,node_sequence,weight,width,thickness,min_temperature,max_temperature,grade,grade_class,hot_roll_grade,soft_hard_class,material_role,split_lineage,virtual_lineage,width_warning,thickness_warning,temperature_warning,chain_warning,business_warning
diagnostic_candidate,True,0002001995-000010,0002001995-000010,0002001995-000010,BR_00000001,BR_00000001,numeric-chain-000023,1,1,79,1583,0.65,770,810,DC51D+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0030118006-000070,0030118006-000070,0030118006-000070,BR_00000001,BR_00000001,numeric-chain-000023,1,2,216,1480,0.8,700,840,DC51D+Z,普碳,SPHC,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0030118966-000010,0030118966-000010,0030118966-000010,BR_00000001,BR_00000001,numeric-chain-000023,1,3,96,1488,0.65,830,850,DC56D+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0030119866-000010,0030119866-000010,0030119866-000010,BR_00000001,BR_00000001,numeric-chain-000023,1,4,78,1385,0.6,830,850,DC54D+Z,IF钢,SPHETI-5,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0030118802-000010,0030118802-000010,0030118802-000010,BR_00000001,BR_00000001,numeric-chain-000023,1,5,92,1350,0.6,820,840,HC180BD+Z,加磷高强、烘烤硬化钢,H180BH1,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0030119098-000060,0030119098-000060,0030119098-000060,BR_00000001,BR_00000001,numeric-chain-000023,1,6,24,1333,0.6,700,840,DX51D+Z,普碳,SPHC,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0030117110-000020,0030117110-000020,0030117110-000020,BR_00000001,BR_00000001,numeric-chain-000023,1,7,66,1312,0.75,830,850,CR3,IF钢,SPHETI-36,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0030118006-000010,0030118006-000010,0030118006-000010,BR_00000001,BR_00000001,numeric-chain-000023,1,8,72,1295,0.6,700,840,DC51D+Z,普碳,SPHC,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0002002053-000130,0002002053-000130,0002002053-000130,BR_00000001,BR_00000001,numeric-chain-000023,1,9,23,1250,0.6,820,840,DX53D+Z-MD,IF钢,SPHETI-5,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0030118006-000020,0030118006-000020,0030118006-000020,BR_00000001,BR_00000001,numeric-chain-000023,1,10,96,1240,0.6,700,840,DC51D+Z,普碳,SPHC,软钢,normal_real,,,,,,,
