artifact_kind,publishable,node_id,source_order_id,source_resource_id,source_period,assigned_period,chain_id,chain_sequence,node_sequence,weight,width,thickness,min_temperature,max_temperature,grade,grade_class,hot_roll_grade,soft_hard_class,material_role,split_lineage,virtual_lineage,width_warning,thickness_warning,temperature_warning,chain_warning
diagnostic_candidate,True,0030121703-000030,0030121703-000030,0030121703-000030,BR_00000032,BR_00000003,numeric-chain-000060,1,1,24,1568,1.45,830,850,DC54D+Z,IF钢,SPHETI-5,软钢,normal_real,,,,,,
diagnostic_candidate,True,0030124871-000050,0030124871-000050,0030124871-000050,BR_00000036,BR_00000003,numeric-chain-000060,1,2,20,1540,1.15,820,840,DX53D+Z,IF钢,SPHETI-5,软钢,normal_real,,,,,,
diagnostic_candidate,True,0005000547-000720,0005000547-000720,0005000547-000720,BR_00000030,BR_00000003,numeric-chain-000060,1,3,21,1535,1,820,840,CR210BH,加磷高强、烘烤硬化钢,H220BH,软钢,normal_real,,,,,,
diagnostic_candidate,True,0030114745-000020,0030114745-000020,0030114745-000020,BR_00000024,BR_00000003,numeric-chain-000060,1,4,24,1530,1,830,850,DC56D+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,
diagnostic_candidate,True,0030112161-000010,0030112161-000010,0030112161-000010,BR_00000024,BR_00000003,numeric-chain-000060,1,5,24,1530,1,830,850,DC56D+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,
diagnostic_candidate,True,0005000486-000580,0005000486-000580,0005000486-000580,BR_00000018,BR_00000003,numeric-chain-000060,1,6,42,1525,1,830,850,CR3,IF钢,SPHETI-36,软钢,normal_real,,,,,,
diagnostic_candidate,True,0030114768-000100,0030114768-000100,0030114768-000100,BR_00000024,BR_00000003,numeric-chain-000060,1,7,7,1520,0.9,820,840,CR210BH,加磷高强、烘烤硬化钢,H220BH,软钢,normal_real,,,,,,
diagnostic_candidate,True,0030114756-000010,0030114756-000010,0030114756-000010,BR_00000024,BR_00000003,numeric-chain-000060,1,8,48,1508,0.8,700,840,DC51D+Z,普碳,SPHC,软钢,normal_real,,,,,,
diagnostic_candidate,True,0030110599-000010,0030110599-000010,0030110599-000010,BR_00000018,BR_00000003,numeric-chain-000060,1,9,48,1503,0.6,830,850,DC54D+Z,IF钢,SPHETI-5,软钢,normal_real,,,,,,
diagnostic_candidate,True,0030105848-000010,0030105848-000010,0030105848-000010,BR_00000012,BR_00000003,numeric-chain-000060,1,10,72,1503,0.6,830,850,DC54D+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,
diagnostic_candidate,True,0030102732-000260,0030102732-000260,0030102732-000260,BR_00000009,BR_00000003,numeric-chain-000060,1,11,48,1500,0.5,700,840,DC51D+Z,普碳,SPHC,软钢,actual_transition,,,,,,
diagnostic_candidate,True,0010019618-000020,0010019618-000020,0010019618-000020,BR_00000036,BR_00000003,numeric-chain-000060,1,12,91.97,1500,0.5,700,840,DC51D+Z,普碳,SPHC,软钢,actual_transition,,,,,,
diagnostic_candidate,True,0030114756-000020,0030114756-000020,0030114756-000020,BR_00000024,BR_00000003,numeric-chain-000060,1,13,148,1480,0.5,820,840,DC53D+Z,IF钢,SPHETI-5,软钢,normal_real,,,,,,
diagnostic_candidate,True,0002001614-000100,0002001614-000100,0002001614-000100,BR_00000012,BR_00000003,numeric-chain-000060,1,14,7.17,1455,0.6,830,850,DC53D+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,
diagnostic_candidate,True,0002002184-000220,0002002184-000220,0002002184-000220,BR_00000036,BR_00000003,numeric-chain-000060,1,15,23,1455,0.6,830,850,DC53D+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,
diagnostic_candidate,True,0002002020-000130,0002002020-000130,0002002020-000130,BR_00000030,BR_00000003,numeric-chain-000060,1,16,69,1455,0.6,830,850,DC53D+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,
diagnostic_candidate,True,0002001400-000050,0002001400-000050,0002001400-000050,BR_00000003,BR_00000003,numeric-chain-000060,1,17,5.7,1455,0.65,830,850,DC53D+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,
diagnostic_candidate,True,0005000544-000010,0005000544-000010,0005000544-000010,BR_00000030,BR_00000003,numeric-chain-000060,1,18,7,1450,0.8,830,850,CR3,IF钢,SPHETI-36,软钢,normal_real,,,,,,
diagnostic_candidate,True,0005000547-000390,0005000547-000390,0005000547-000390,BR_00000030,BR_00000003,numeric-chain-000060,1,19,40.94,1448,0.8,830,850,CR3,IF钢,SPHETI-36,软钢,normal_real,,,,,,
diagnostic_candidate,True,0030123142-000020,0030123142-000020,0030123142-000020,BR_00000036,BR_00000003,numeric-chain-000060,1,20,149.8,1440,0.7,830,850,SCG4+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,
diagnostic_candidate,True,0030120049-000040,0030120049-000040,0030120049-000040,BR_00000031,BR_00000003,numeric-chain-000060,1,21,24,1440,0.7,830,850,DC56D+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,
diagnostic_candidate,True,0002001603-000130,0002001603-000130,0002001603-000130,BR_00000012,BR_00000003,numeric-chain-000060,1,22,24.16,1434,0.7,830,850,DC53D+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,
diagnostic_candidate,True,0030118991-000040,0030118991-000040,0030118991-000040,BR_00000030,BR_00000003,numeric-chain-000060,1,23,182,1430,0.65,830,850,SCG4+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,
diagnostic_candidate,True,0002002006-000210,0002002006-000210,0002002006-000210,BR_00000030,BR_00000003,numeric-chain-000060,1,24,49,1390,0.65,830,850,DC53D+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,
diagnostic_candidate,True,0030119866-000010,0030119866-000010,0030119866-000010,BR_00000030,BR_00000003,numeric-chain-000060,1,25,78,1385,0.6,830,850,DC54D+Z,IF钢,SPHETI-5,软钢,normal_real,,,,,,
diagnostic_candidate,True,0030121196-000010,0030121196-000010,0030121196-000010,BR_00000032,BR_00000003,numeric-chain-000060,1,26,24,1380,0.67,830,850,DC56D+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,
diagnostic_candidate,True,0030112686-000020,0030112686-000020,0030112686-000020,BR_00000024,BR_00000003,numeric-chain-000060,1,27,66,1374,0.75,830,850,CR3,IF钢,SPHETI-36,软钢,normal_real,,,,,,
diagnostic_candidate,True,0030107381-000030,0030107381-000030,0030107381-000030,BR_00000018,BR_00000003,numeric-chain-000060,1,28,132,1374,0.75,830,850,CR3,IF钢,SPHETI-36,软钢,normal_real,,,,,,
diagnostic_candidate,True,0005000547-000030,0005000547-000030,0005000547-000030,BR_00000030,BR_00000003,numeric-chain-000060,1,29,70.61,1365,0.8,830,850,CR180BH,加磷高强、烘烤硬化钢,H180BH,软钢,normal_real,,,,,,
diagnostic_candidate,True,0005000486-000030,0005000486-000030,0005000486-000030,BR_00000018,BR_00000003,numeric-chain-000060,1,30,63,1365,0.8,830,850,CR180BH,加磷高强、烘烤硬化钢,H180BH,软钢,normal_real,,,,,,
diagnostic_candidate,True,0002001780-000010,0002001780-000010,0002001780-000010,BR_00000024,BR_00000003,numeric-chain-000060,1,31,23,1365,0.65,830,850,DC53D+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,
diagnostic_candidate,True,0030112575-000060,0030112575-000060,0030112575-000060,BR_00000024,BR_00000003,numeric-chain-000060,1,32,156,1360,0.65,830,850,SCG4+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,
diagnostic_candidate,True,0030123142-000040,0030123142-000040,0030123142-000040,BR_00000036,BR_00000003,numeric-chain-000060,1,33,133.89,1360,0.65,830,850,SCG4+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,
diagnostic_candidate,True,0030117285-000060,0030117285-000060,0030117285-000060,BR_00000030,BR_00000003,numeric-chain-000060,1,34,52,1360,0.65,830,850,SCG4+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,
diagnostic_candidate,True,0002001733-000010,0002001733-000010,0002001733-000010,BR_00000018,BR_00000006,numeric-chain-000031,1,1,17.11,1583,0.65,770,810,DC51D+Z,普碳,SPHC,软钢,normal_real,,,,,,
diagnostic_candidate,True,0002002180-000340,0002002180-000340,0002002180-000340,BR_00000036,BR_00000006,numeric-chain-000031,1,2,20,1555,0.6,770,810,DC51D+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,
diagnostic_candidate,True,0002001750-000400,0002001750-000400,0002001750-000400,BR_00000018,BR_00000006,numeric-chain-000031,1,3,20,1555,0.6,770,810,DC51D+Z,普碳,SPHC,软钢,normal_real,,,,,,
diagnostic_candidate,True,0002002021-000190,0002002021-000190,0002002021-000190,BR_00000030,BR_00000006,numeric-chain-000031,1,4,23,1548,0.6,770,810,DC51D+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,
diagnostic_candidate,True,0002001874-000080,0002001874-000080,0002001874-000080,BR_00000024,BR_00000006,numeric-chain-000031,1,5,23,1545,0.65,770,810,DC51D+Z,普碳,SPHC,软钢,normal_real,,,,,,
diagnostic_candidate,True,0002001628-000020,0002001628-000020,0002001628-000020,BR_00000012,BR_00000006,numeric-chain-000031,1,6,23,1545,0.65,770,810,DC51D+Z,普碳,SPHC,软钢,normal_real,,,,,,
diagnostic_candidate,True,0002001633-000110,0002001633-000110,0002001633-000110,BR_00000012,BR_00000006,numeric-chain-000031,1,7,63.35,1510,0.6,770,810,DC51D+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,
diagnostic_candidate,True,0030107311-000020,0030107311-000020,0030107311-000020,BR_00000018,BR_00000006,numeric-chain-000031,1,8,35.52,1500,0.6,700,840,DC51D+Z,普碳,SPHC,软钢,actual_transition,,,,,,
diagnostic_candidate,True,0030107311-000170,0030107311-000170,0030107311-000170,BR_00000018,BR_00000006,numeric-chain-000031,1,9,48,1500,0.6,700,840,DC51D+Z,普碳,SPHC,软钢,actual_transition,,,,,,
diagnostic_candidate,True,0010017445-000060,0010017445-000060,0010017445-000060,BR_00000025,BR_00000006,numeric-chain-000031,1,10,90.09,1500,0.8,700,840,DC51D+Z,普碳,SPHC,软钢,actual_transition,,,,,,
diagnostic_candidate,True,0030105071-000010,0030105071-000010,0030105071-000010,BR_00000012,BR_00000006,numeric-chain-000031,1,11,48,1500,0.8,700,840,DX51D+Z,普碳,SPHC,软钢,normal_real,,,,,,
diagnostic_candidate,True,0010018679-000080,0010018679-000080,0010018679-000080,BR_00000030,BR_00000006,numeric-chain-000031,1,12,26.45,1500,1,700,840,DC51D+Z,普碳,SPHC,软钢,actual_transition,,,,,,
diagnostic_candidate,True,0010017445-000070,0010017445-000070,0010017445-000070,BR_00000025,BR_00000006,numeric-chain-000031,1,13,24.45,1500,1,700,840,DC51D+Z,普碳,SPHC,软钢,actual_transition,,,,,,
diagnostic_candidate,True,0030105071-000020,0030105071-000020,0030105071-000020,BR_00000012,BR_00000006,numeric-chain-000031,1,14,46.69,1500,1,700,840,DX51D+Z,普碳,SPHC,软钢,normal_real,,,,,,
diagnostic_candidate,True,0030109817-000020,0030109817-000020,0030109817-000020,BR_00000018,BR_00000006,numeric-chain-000031,1,15,144,1500,1.2,700,840,DX51D+Z,普碳,SPHC,软钢,normal_real,,,,,,
diagnostic_candidate,True,0030109817-000030,0030109817-000030,0030109817-000030,BR_00000018,BR_00000006,numeric-chain-000031,1,16,48,1500,1.45,700,840,DX51D+Z,普碳,SPHC,软钢,normal_real,,,,,,
diagnostic_candidate,True,0030102517-000110,0030102517-000110,0030102517-000110,BR_00000009,BR_00000006,numeric-chain-000031,1,17,25.23,1500,1.6,700,720,DC51D+Z,普碳,SPHC,软钢,actual_transition,,,,,,
diagnostic_candidate,True,0030100868-000060,0030100868-000060,0030100868-000060,BR_00000008,BR_00000006,numeric-chain-000031,1,18,24,1500,1.78,700,720,DC51D+Z,普碳,SPHC,软钢,actual_transition,,,,,,
diagnostic_candidate,True,0030107311-000090,0030107311-000090,0030107311-000090,BR_00000018,BR_00000006,numeric-chain-000031,1,19,48,1500,1.95,700,720,DC51D+Z,普碳,SPHC,软钢,actual_transition,,,,,,
diagnostic_candidate,True,0030107311-000350,0030107311-000350,0030107311-000350,BR_00000018,BR_00000006,numeric-chain-000031,1,20,24,1500,2,700,720,DC51D+Z,普碳,SPHC,软钢,actual_transition,,,,,,
diagnostic_candidate,True,0030107311-000270,0030107311-000270,0030107311-000270,BR_00000018,BR_00000006,numeric-chain-000031,1,21,48,1500,2,700,720,DC51D+Z,普碳,SPHC,软钢,actual_transition,,,,,,
diagnostic_candidate,True,0030107311-000410,0030107311-000410,0030107311-000410,BR_00000018,BR_00000006,numeric-chain-000031,1,22,24,1500,2,700,720,DC51D+Z,普碳,SPHC,软钢,actual_transition,,,,,,
diagnostic_candidate,True,0010017424-000020,0010017424-000020,0010017424-000020,BR_00000024,BR_00000006,numeric-chain-000031,1,23,96,1500,2,700,720,DC51D+Z-D,普碳,SPHC,软钢,normal_real,,,,,,
