         454701582 function calls (443071106 primitive calls) in 79.136 seconds

   Ordered by: cumulative time
   List reduced from 345 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   81.832   81.832 /private/tmp/apsgo-v7-reuse-pairs.UlRN2t/new/src/apsgo_scheduler/core/neighborhoods.py:1040(run_local_search)
        4    0.000    0.000   81.832   20.458 /private/tmp/apsgo-v7-reuse-pairs.UlRN2t/new/tools/profile_solver_search.py:113(wrapped)
        1    0.021    0.021   70.920   70.920 /private/tmp/apsgo-v7-reuse-pairs.UlRN2t/new/src/apsgo_scheduler/core/neighborhoods.py:673(improve_whole_chain)
     1483    0.008    0.000   58.971    0.040 /private/tmp/apsgo-v7-reuse-pairs.UlRN2t/new/src/apsgo_scheduler/core/neighborhoods.py:638(_candidate_merged_sequences)
     9725    0.012    0.000   57.735    0.006 /private/tmp/apsgo-v7-reuse-pairs.UlRN2t/new/src/apsgo_scheduler/core/neighborhoods.py:624(_boundary_join)
     9283    0.657    0.000   57.711    0.006 /private/tmp/apsgo-v7-reuse-pairs.UlRN2t/new/src/apsgo_scheduler/core/virtual_material.py:115(bridge)
  1212646    0.736    0.000   43.108    0.000 /private/tmp/apsgo-v7-reuse-pairs.UlRN2t/new/src/apsgo_scheduler/core/virtual_material.py:106(_connected)
  1389701    0.284    0.000   39.964    0.000 /private/tmp/apsgo-v7-reuse-pairs.UlRN2t/new/src/apsgo_scheduler/core/compatibility.py:247(allows)
  1389701    1.122    0.000   39.680    0.000 /private/tmp/apsgo-v7-reuse-pairs.UlRN2t/new/src/apsgo_scheduler/core/compatibility.py:212(_decision)
  2779402    4.714    0.000   35.880    0.000 /private/tmp/apsgo-v7-reuse-pairs.UlRN2t/new/src/apsgo_scheduler/core/compatibility.py:173(semantic_fingerprint)
   463448    0.352    0.000   27.276    0.000 /private/tmp/apsgo-v7-reuse-pairs.UlRN2t/new/src/apsgo_scheduler/core/contracts.py:64(fingerprint)
   463448    0.340    0.000   26.505    0.000 /private/tmp/apsgo-v7-reuse-pairs.UlRN2t/new/src/apsgo_scheduler/core/contracts.py:28(canonical_json)
12041983/463448    7.753    0.000   21.788    0.000 /private/tmp/apsgo-v7-reuse-pairs.UlRN2t/new/src/apsgo_scheduler/core/contracts.py:31(encode)
   463448    0.756    0.000   19.554    0.000 /private/tmp/apsgo-v7-reuse-pairs.UlRN2t/new/src/apsgo_scheduler/core/contracts.py:48(<listcomp>)
     2263    0.219    0.000   16.652    0.007 /private/tmp/apsgo-v7-reuse-pairs.UlRN2t/new/src/apsgo_scheduler/core/neighborhoods.py:411(try_complete_candidate)
     2263    0.030    0.000   15.605    0.007 /Users/miles/dev/dev-py/APSGOV7/docs/implementation/evidence/apsgo_v7_unchanged_chain_evaluation_reuse/stage_03_comparison/probe_reuse.py:62(candidate)
     2263    0.015    0.000   14.947    0.007 /private/tmp/apsgo-v7-reuse-pairs.UlRN2t/new/src/apsgo_scheduler/core/evaluation.py:163(_evaluate_candidate_plan)
     2263    0.259    0.000   14.913    0.007 /private/tmp/apsgo-v7-reuse-pairs.UlRN2t/new/src/apsgo_scheduler/core/evaluation.py:320(_evaluate_plan)
   455702    2.317    0.000   12.443    0.000 /private/tmp/apsgo-v7-reuse-pairs.UlRN2t/new/src/apsgo_scheduler/core/virtual_material.py:60(materialize)
228689/176752    1.112    0.000   11.090    0.000 /private/tmp/apsgo-v7-reuse-pairs.UlRN2t/new/src/apsgo_scheduler/core/contracts.py:118(sum_weights)
   271387    0.973    0.000   10.937    0.000 /private/tmp/apsgo-v7-reuse-pairs.UlRN2t/new/src/apsgo_scheduler/core/rules/rule_set.py:131(_evaluate)
  2780688    0.998    0.000   10.700    0.000 /private/tmp/apsgo-v7-reuse-pairs.UlRN2t/new/src/apsgo_scheduler/core/contracts.py:50(<listcomp>)
     4075    0.837    0.000    9.133    0.002 /private/tmp/apsgo-v7-reuse-pairs.UlRN2t/new/src/apsgo_scheduler/core/resource_facts.py:261(derive_evaluation_resource_view)
    93192    0.049    0.000    8.852    0.000 /Users/miles/dev/dev-py/APSGOV7/docs/implementation/evidence/apsgo_v7_unchanged_chain_evaluation_reuse/stage_03_comparison/probe_reuse.py:93(wrapped)
   263921    1.138    0.000    8.247    0.000 /private/tmp/apsgo-v7-reuse-pairs.UlRN2t/new/src/apsgo_scheduler/core/contracts.py:104(sum_decimals)
        1    0.023    0.023    7.822    7.822 /private/tmp/apsgo-v7-reuse-pairs.UlRN2t/new/src/apsgo_scheduler/core/neighborhoods.py:881(improve_virtual_weight_fill)
104600314    5.144    0.000    7.321    0.000 {built-in method builtins.isinstance}
  4096761    0.555    0.000    5.528    0.000 /private/tmp/apsgo-v7-reuse-pairs.UlRN2t/new/src/apsgo_scheduler/core/budget.py:128(allows_search)
   172491    0.059    0.000    5.322    0.000 /private/tmp/apsgo-v7-reuse-pairs.UlRN2t/new/src/apsgo_scheduler/core/rules/rule_set.py:156(evaluate_edge)
 21902033    4.157    0.000    5.292    0.000 /private/tmp/apsgo-v7-reuse-pairs.UlRN2t/new/src/apsgo_scheduler/core/contracts.py:88(require_decimal)
   455702    0.959    0.000    5.226    0.000 /private/tmp/apsgo-v7-reuse-pairs.UlRN2t/new/src/apsgo_scheduler/core/model.py:148(__post_init__)
     5704    0.090    0.000    5.099    0.001 /private/tmp/apsgo-v7-reuse-pairs.UlRN2t/new/src/apsgo_scheduler/core/rules/rule_set.py:162(evaluate_complete_chain)
  4160987    2.808    0.000    5.049    0.000 /private/tmp/apsgo-v7-reuse-pairs.UlRN2t/new/src/apsgo_scheduler/core/budget.py:109(permit)
   463448    0.139    0.000    4.376    0.000 /private/tmp/apsgo-v7-reuse-pairs.UlRN2t/new/src/apsgo_scheduler/core/contracts.py:58(dump)
   463448    0.360    0.000    4.237    0.000 /Users/miles/anaconda3/envs/aps_3.10.18/lib/python3.10/json/__init__.py:183(dumps)
  1141034    0.547    0.000    4.108    0.000 {built-in method builtins.min}
  9931029    1.892    0.000    3.663    0.000 {method 'as_tuple' of 'decimal.Decimal' objects}
   463448    0.293    0.000    3.657    0.000 /Users/miles/anaconda3/envs/aps_3.10.18/lib/python3.10/json/encoder.py:182(encode)
  9268960    1.604    0.000    3.603    0.000 /Users/miles/anaconda3/envs/aps_3.10.18/lib/python3.10/dataclasses.py:1210(is_dataclass)
  8124722    1.016    0.000    3.560    0.000 /private/tmp/apsgo-v7-reuse-pairs.UlRN2t/new/src/apsgo_scheduler/core/contracts.py:111(<genexpr>)
  5804030    1.535    0.000    3.555    0.000 {built-in method builtins.any}
   463448    3.294    0.000    3.294    0.000 /Users/miles/anaconda3/envs/aps_3.10.18/lib/python3.10/json/encoder.py:204(iterencode)
     2263    0.001    0.000    2.834    0.001 /private/tmp/apsgo-v7-reuse-pairs.UlRN2t/new/src/apsgo_scheduler/core/rules/rule_set.py:192(evaluate_plan)
  3702766    1.379    0.000    2.696    0.000 /private/tmp/apsgo-v7-reuse-pairs.UlRN2t/new/src/apsgo_scheduler/core/compatibility.py:67(_finite_projection)
    65005    0.021    0.000    2.496    0.000 /private/tmp/apsgo-v7-reuse-pairs.UlRN2t/new/src/apsgo_scheduler/core/model.py:252(total_weight)
