         29879648 function calls (29629590 primitive calls) in 15.431 seconds

   Ordered by: cumulative time
   List reduced from 327 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.002    0.002   15.697   15.697 /private/tmp/apsgo-unified-step71-281mPy/src/apsgo_scheduler/core/_numeric_refinement.py:1525(improve_numeric_refinement)
      334    0.014    0.000   15.680    0.047 /Users/miles/dev/dev-py/APSGOV7/tools/verify_unified_numeric_search_prefix.py:121(scan)
      334    0.127    0.000   15.666    0.047 /private/tmp/apsgo-unified-step71-281mPy/src/apsgo_scheduler/core/_numeric_refinement.py:1318(_scan_family)
     2447    0.039    0.000   14.629    0.006 /private/tmp/apsgo-unified-step71-281mPy/src/apsgo_scheduler/core/_numeric_refinement.py:1466(_prepare_descriptor_batch)
    39648    0.219    0.000   14.390    0.000 /private/tmp/apsgo-unified-step71-281mPy/src/apsgo_scheduler/core/_numeric_refinement.py:1437(_descriptor_attempts)
    36747    0.026    0.000   11.094    0.000 /private/tmp/apsgo-unified-step71-281mPy/src/apsgo_scheduler/core/_numeric_search.py:624(capture_candidate_result)
    36747    0.145    0.000   11.068    0.000 /private/tmp/apsgo-unified-step71-281mPy/src/apsgo_scheduler/core/_numeric_candidate_kernel.py:681(compute_candidate_attempt)
    36747    1.091    0.000    8.827    0.000 /private/tmp/apsgo-unified-step71-281mPy/src/apsgo_scheduler/core/_numeric_candidate_kernel.py:556(prepare_candidate_attempt)
    17691    0.257    0.000    6.056    0.000 /private/tmp/apsgo-unified-step71-281mPy/src/apsgo_scheduler/core/_numeric_candidate_kernel.py:325(_repair_parts)
    34960    1.547    0.000    5.226    0.000 /private/tmp/apsgo-unified-step71-281mPy/src/apsgo_scheduler/core/_numeric_resources.py:182(prepare_private_bridge)
   197617    2.175    0.000    2.209    0.000 /private/tmp/apsgo-unified-step71-281mPy/src/apsgo_scheduler/core/_numeric_resources.py:79(scan_private_bridge)
     5601    0.176    0.000    1.914    0.000 /private/tmp/apsgo-unified-step71-281mPy/src/apsgo_scheduler/core/_numeric_evaluation.py:454(evaluate_numeric_view)
    36747    0.036    0.000    1.558    0.000 /private/tmp/apsgo-unified-step71-281mPy/src/apsgo_scheduler/core/_numeric_refinement.py:1429(_descriptor_workspace)
    36747    0.258    0.000    1.516    0.000 /private/tmp/apsgo-unified-step71-281mPy/src/apsgo_scheduler/core/_numeric_state.py:976(allocate)
     5601    1.417    0.000    1.431    0.000 /private/tmp/apsgo-unified-step71-281mPy/src/apsgo_scheduler/core/_numeric_kernel.py:678(evaluate_view_kernel)
    36747    0.547    0.000    1.232    0.000 /private/tmp/apsgo-unified-step71-281mPy/src/apsgo_scheduler/core/_numeric_state.py:902(__post_init__)
   474255    0.095    0.000    0.815    0.000 /Users/miles/dev/dev-py/APSGOV7/tools/verify_unified_numeric_search_prefix.py:66(permit)
   454254    0.076    0.000    0.775    0.000 /private/tmp/apsgo-unified-step71-281mPy/src/apsgo_scheduler/core/budget.py:128(allows_search)
    14656    0.369    0.000    0.698    0.000 /private/tmp/apsgo-unified-step71-281mPy/src/apsgo_scheduler/core/_numeric_resources.py:222(_append_selected_virtuals)
   474255    0.363    0.000    0.648    0.000 /private/tmp/apsgo-unified-step71-281mPy/src/apsgo_scheduler/core/budget.py:109(permit)
   347961    0.110    0.000    0.633    0.000 /Users/miles/anaconda3/envs/aps_3.10.18/lib/python3.10/site-packages/numpy/_core/fromnumeric.py:2477(any)
67467/19585    0.017    0.000    0.614    0.000 {built-in method builtins.next}
    19898    0.075    0.000    0.610    0.000 /Users/miles/dev/dev-py/APSGOV7/tools/verify_unified_numeric_search_prefix.py:122(observed)
   845181    0.172    0.000    0.570    0.000 /private/tmp/apsgo-unified-step71-281mPy/src/apsgo_scheduler/core/_numeric_state.py:991(<genexpr>)
   347961    0.183    0.000    0.523    0.000 /Users/miles/anaconda3/envs/aps_3.10.18/lib/python3.10/site-packages/numpy/_core/fromnumeric.py:89(_wrapreduction_any_all)
   955422    0.234    0.000    0.422    0.000 /private/tmp/apsgo-unified-step71-281mPy/src/apsgo_scheduler/core/_numeric_state.py:986(empty_like)
