         169371686 function calls (168585435 primitive calls) in 29.869 seconds

   Ordered by: cumulative time
   List reduced from 394 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   31.072   31.072 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/width_optimization.py:363(run_width_optimization)
        1    0.000    0.000   31.072   31.072 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/width_optimization.py:327(_scan_width_families)
       19    0.071    0.004   31.071    1.635 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/width_optimization.py:310(_scan_width_batch)
109875/100023    0.117    0.000   30.576    0.000 /Users/miles/dev/dev-py/APSGOV7/tools/benchmark_width_candidate_evaluation.py:56(wrapped)
   100023    0.073    0.000   30.366    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/width_optimization.py:294(_try_width_recipe)
    79875    0.231    0.000   28.053    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/width_optimization.py:205(_try_segment_edit)
    58956    0.115    0.000   13.793    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/width_optimization.py:122(_width_improves)
    58966    0.068    0.000    8.305    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/width_optimization.py:22(_width_boundaries)
    59664    0.918    0.000    7.921    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/rules/concrete.py:1105(boundary_contributions)
      706    0.076    0.000    7.572    0.011 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/neighborhoods.py:411(try_complete_candidate)
  1372272    0.958    0.000    6.131    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/rules/concrete.py:1125(<genexpr>)
162368/146314    0.651    0.000    6.058    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/contracts.py:118(sum_weights)
      698    0.007    0.000    5.767    0.008 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/evaluation.py:163(_evaluate_candidate_plan)
