chain_id,assigned_period,position,node_id,source_order_id,source_resource_id,source_period,material_role,weight,width,thickness,min_temperature,max_temperature,grade,partition_id,piece_index,virtual_prototype_id,virtual_purpose,virtual_accepted_sequence,related_partition_id,sequence,small_roll,delivery_date
initial-000001,BR_00000001,0,0002002187-000020,0002002187-000020,0002002187-000020,BR_00000006,normal_real,25.0,1815.0,0.6,830.0,850.0,DC53D+Z,,,,,,,1,01,2026-06-30
initial-000001,BR_00000001,1,0002002177-000010,0002002177-000010,0002002177-000010,BR_00000006,normal_real,30.0,1775.0,0.6,830.0,850.0,DC53D+Z,,,,,,,2,01,2026-06-30
initial-000001,BR_00000001,2,0002002177-000020,0002002177-000020,0002002177-000020,BR_00000006,normal_real,15.0,1590.0,0.6,830.0,850.0,DC53D+Z,,,,,,,3,01,2026-06-30
initial-000001,BR_00000001,3,0010019718-000050,0010019718-000050,0010019718-000050,BR_00000006,actual_transition,96.0,1550.0,0.5,700.0,840.0,DC51D+Z,,,,,,,4,01,2026-06-30
initial-000001,BR_00000001,4,0010019718-000040,0010019718-000040,0010019718-000040,BR_00000006,actual_transition,144.0,1500.0,0.5,700.0,840.0,DC51D+Z,,,,,,,5,01,2026-06-30
initial-000001,BR_00000001,5,0010018206-000080,0010018206-000080,0010018206-000080,BR_00000001,actual_transition,8.26,1500.0,0.5,700.0,840.0,DC51D+Z,,,,,,,6,01,2026-05-31
initial-000001,BR_00000001,6,0010019618-000020,0010019618-000020,0010019618-000020,BR_00000006,actual_transition,192.0,1500.0,0.5,700.0,840.0,DC51D+Z,,,,,,,7,01,2026-06-30
initial-000001,BR_00000001,7,0030124871-000110,0030124871-000110,0030124871-000110,BR_00000006,normal_real,140.0,1460.0,0.6,730.0,750.0,DX51D+Z,,,,,,,8,01,2026-06-30
initial-000001,BR_00000001,8,0010019718-000030,0010019718-000030,0010019718-000030,BR_00000006,actual_transition,131.46,1400.0,0.5,700.0,840.0,DC51D+Z,,,,,,,9,01,2026-06-30
initial-000001,BR_00000001,9,0002002176-000140,0002002176-000140,0002002176-000140,BR_00000006,normal_real,23.0,1380.0,0.6,770.0,810.0,DC51D+Z,,,,,,,10,01,2026-06-30
