small_roll,chain_id,assigned_period,start,end,node_count,real_node_count,source_count,total_weight,real_weight,virtual_count,virtual_weight
01,initial-000001,BR_00000001,1,37,37,37,37,1999.20,1999.20,0,0
02,initial-000003,BR_00000001,38,75,38,37,36,1982.67,1962.67,1,20.0
03,initial-000008,BR_00000001,76,98,23,19,19,825.02,745.02,4,80.0
04,initial-000004,BR_00000001,99,117,19,19,19,1498.55,1498.55,0,0
05,initial-000014,BR_00000001,118,148,31,31,31,1900.69,1900.69,0,0
06,initial-000016,BR_00000001,149,173,25,25,25,1748.21,1748.21,0,0
07,initial-000018,BR_00000001,174,215,42,42,42,1967.97,1967.97,0,0
08,initial-000024,BR_00000001,216,247,32,31,31,1752.16,1732.16,1,20.0
09,initial-000025,BR_00000001,248,274,27,26,26,1346.36,1326.36,1,20.0
10,initial-000026,BR_00000001,275,284,10,8,8,975.2,935.2,2,40.0
11,initial-000027,BR_00000001,285,305,21,21,21,700.07,700.07,0,0
12,initial-000006,BR_00000001,306,330,25,25,25,1550.40,1550.40,0,0
13,initial-000023,BR_00000001,331,356,26,26,26,1202.69,1202.69,0,0
14,initial-000005,BR_00000001,357,382,26,26,26,1990.03,1990.03,0,0
15,initial-000020,BR_00000001,383,406,24,24,24,1320.07,1320.07,0,0
16,initial-000019,BR_00000001,407,423,17,15,15,793.74,753.74,2,40.0
17,initial-000031,BR_00000001,424,437,14,13,13,700.65,680.65,1,20.0
18,initial-000009,BR_00000001,438,474,37,32,32,1941.09,1841.09,5,100.0
19,initial-000017,BR_00000002,475,493,19,18,18,1050.57,1030.57,1,20.0
20,initial-000030,BR_00000002,494,519,26,18,18,719.07,559.07,8,160.0
21,split-chain-partition-14eed158aa2fb5d0bb6b46f70510931e923f66a097fc0e062e2687e39b166626,BR_00000006,520,526,7,6,5,780.15,760.15,1,20.0
22,initial-000021,BR_00000006,527,563,37,34,34,1189.35,1129.35,3,60.0
