chain_id,assigned_period,total_weight,real_weight,virtual_weight,underweight_chain_count,underweight_total_gap,violations,node_ids
initial-000001,BR_00000001,1999.20,1999.20,0,0,0,,0002002187-000020;0002002177-000010;0002002177-000020;0010019718-000050;0010019718-000040;0010018206-000080;0010019618-000020;0030124871-000110;0010019718-000030;0002002176-000140;0002002180-000040;0002002195-000230;0002002185-000100;0030119098-000060;0030123143-000030;0030117110-000020;0030122759-000020;0030125150-000020;0002002180-000360;0030118006-000010;0002002195-000110;0030123141-000010;0030122897-000010;0030120727-000030;0030125168-000040;0030125168-000060;0030124800-000070;0002002176-000170;0030117283-000020;0030120974-000030;0002002176-000180;0030125206-000010;0030124800-000060;0002002176-000200;0030124800-000050;0002002184-000130;0002002195-000050
initial-000003,BR_00000001,1982.67,1962.67,20.0,0,0,,0002002187-000010;0002002170-000300;0030124457-000020;0002002184-000220;0005000563-000280;0030119860-000030;0002002053-000120;0005000563-000030;0002002020-000080;0005000563-000130;0030122476-000050;0030124567-000010;0030121196-000020;0002002053-000180;0002002054-000100;0030124731-000010;0002002195-000180;0030123916-000030;0010020206-000080;0002002195-000100;0030122476-000070;0030117976-000020;0030125207-000090;0030124772-000030;0030122759-000010;0002002009-000050;0030124871-000040;0002002152-000010;split-partition-12867008acf6a0ea9d8776d23dc778175dc8c9ecf45f1c627e21aad01e519f05:piece:0001;virtual-000015;split-partition-12867008acf6a0ea9d8776d23dc778175dc8c9ecf45f1c627e21aad01e519f05:piece:0002;0002002054-000340;0002002055-000110;0030124574-000010;0030124824-000010;0030124826-000010;0030124207-000010;0002002180-000160
initial-000008,BR_00000001,825.02,745.02,80.0,0,0,,0002002193-000030;0010020206-000100;0030120817-000050;0030124735-000110;0030124735-000070;0030121501-000010;virtual-000018;virtual-000019;0030122066-000070;virtual-000020;virtual-000021;0002002170-000350;0030122488-000020;0010019881-000040;0030120939-000090;0030124735-000080;0030125101-000030;0030121432-000010;0002002202-000110;0002002185-000090;0002002170-000050;0030124683-000050;0030125170-000010
initial-000004,BR_00000001,1498.55,1498.55,0,0,0,,0002002193-000020;0030123646-000010;0002002170-000320;0030123255-000020;0030123256-000030;0030118966-000010;0002002176-000150;0002002170-000010;0030123936-000020;0030123143-000010;0030123936-000010;0002002184-000030;0002002176-000110;0030124683-000030;0030123143-000020;0030119866-000010;0030124199-000010;0030123425-000020;0030123143-000060
initial-000014,BR_00000001,1900.69,1900.69,0,0,0,,0002002177-000030;0002001995-000010;0002002180-000340;0002002180-000130;0002002176-000220;0030118006-000070;0030123142-000010;0030123142-000020;0002002170-000430;0002002055-000100;0030121799-000010;0030121346-000020;0030125168-000010;0002002054-000010;0010019718-000010;0030123654-000020;0030125168-000030;0030125168-000020;0030119098-000010;0002002054-000270;0002002054-000350;0002002054-000320;0030118641-000010;0030123916-000010;0002002055-000080;0002002055-000040;0002002054-000040;0030125168-000050;0030123654-000010;0030118641-000020;0030123916-000020
initial-000016,BR_00000001,1748.21,1748.21,0,0,0,,0030125207-000060;0002002176-000230;0002002185-000130;0002002185-000080;0002001998-000190;0002002195-000160;0002002185-000140;0002002176-000080;0002002195-000150;0002002162-000010;0002002176-000030;0002002195-000140;0002002195-000250;0002002044-000070;0002002162-000040;0002002185-000070;0002002024-000070;0002002176-000100;0030125207-000070;0030124800-000020;0002002170-000220;0030123653-000060;0030124871-000030;0030124735-000100;0030122897-000040
initial-000018,BR_00000001,1967.97,1967.97,0,0,0,,0030124871-000100;0030124871-000090;0030125168-000080;0002002170-000020;0002002170-000160;0030124397-000030;0030120049-000040;0002002170-000240;0030123143-000040;0002002180-000280;0030122759-000030;0030124735-000060;0002002184-000010;0030123255-000010;0002002176-000240;0030123141-000020;0002002162-000110;0002002170-000340;0030122897-000100;0030124081-000010;0030124824-000030;0010019881-000010;0010019881-000020;0030124871-000020;0030122897-000050;0030124207-000020;0030125168-000090;0002002202-000020;0030124800-000010;0030125184-000010;0030118093-000020;0030124440-000030;0002002202-000210;0002002170-000080;0030124440-000020;0002002169-000030;0002002195-000060;0002002202-000150;0002002195-000170;0002002202-000160;0030124800-000030;0002002176-000070
initial-000024,BR_00000001,1724.51,1724.51,0,0,0,,0030124583-000010;0030125101-000020;0010019881-000060;0002002054-000060;0005000571-000030;0005000563-000090;0002002059-000020;0002002053-000070;0030119945-000140;0030119597-000010;0030125147-000020;0030123508-000010;0030118261-000010;0030124170-000010;0005000571-000020;0002002184-000090;0005000563-000290;0005000547-000400;0002002053-000020;0030124438-000010;0030118934-000020;0030124824-000020;0030119031-000020;0030118093-000060;0030123145-000020;0030122899-000010;0030122480-000090;0030120940-000030;0030122480-000040;0030120745-000010
initial-000025,BR_00000001,1346.36,1326.36,20.0,0,0,,0030121196-000030;0030123053-000010;0030118957-000010;0030124735-000090;0002002195-000120;0002002202-000090;0030123916-000040;0030118006-000020;0030125207-000050;0010019680-000010;0002002184-000060;0010019680-000030;0030124827-000010;0030124827-000020;0030124871-000130;0010019680-000020;0030124826-000040;0030124824-000040;0030120951-000010;0002002180-000350;0002002006-000230;0030124457-000010;0002002180-000010;0002002176-000120;0030124437-000010;virtual-000023;0005000563-000220
initial-000026,BR_00000001,928.2,928.2,0,0,0,,0030122898-000030;0030124735-000130;0030122898-000040;0030122899-000050;0030121724-000020;0030118921-000020;0010020206-000030
