artifact_kind,publishable,node_id,source_order_id,source_resource_id,source_period,assigned_period,chain_id,chain_sequence,node_sequence,weight,width,thickness,min_temperature,max_temperature,grade,grade_class,hot_roll_grade,soft_hard_class,material_role,split_lineage,virtual_lineage,width_warning,thickness_warning,temperature_warning,chain_warning
diagnostic_candidate,True,0002002187-000010,0002002187-000010,0002002187-000010,BR_00000006,BR_00000001,initial-000003,1,1,25.0,1710.0,0.6,810.0,830.0,180YD+Z,加磷高强、烘烤硬化钢,H180YD,软钢,normal_real,,,,,,
diagnostic_candidate,True,0002002179-000010,0002002179-000010,0002002179-000010,BR_00000006,BR_00000001,initial-000003,1,2,41.0,1650.0,0.8,810.0,830.0,180YD+Z,加磷高强、烘烤硬化钢,H180YD,软钢,normal_real,,,,,,
diagnostic_candidate,True,0030121690-000010,0030121690-000010,0030121690-000010,BR_00000002,BR_00000001,initial-000003,1,3,23.0,1580.0,0.8,820.0,840.0,HC180BD+Z,加磷高强、烘烤硬化钢,H180BH1,软钢,normal_real,,,,,,
diagnostic_candidate,True,0002002180-000140,0002002180-000140,0002002180-000140,BR_00000006,BR_00000001,initial-000003,1,4,20.0,1540.0,0.8,830.0,850.0,DC56D+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,
diagnostic_candidate,True,0002002170-000020,0002002170-000020,0002002170-000020,BR_00000006,BR_00000001,initial-000003,1,5,69.0,1498.0,0.8,830.0,850.0,DC53D+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,
diagnostic_candidate,True,0002002170-000160,0002002170-000160,0002002170-000160,BR_00000006,BR_00000001,initial-000003,1,6,23.0,1495.0,0.7,830.0,850.0,DC53D+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,
diagnostic_candidate,True,0030123256-000040,0030123256-000040,0030123256-000040,BR_00000006,BR_00000001,initial-000003,1,7,69.0,1475.0,0.65,820.0,840.0,HC180BD+Z,加磷高强、烘烤硬化钢,H180BH1,软钢,normal_real,,,,,,
diagnostic_candidate,True,0002002170-000150,0002002170-000150,0002002170-000150,BR_00000006,BR_00000001,initial-000003,1,8,23.0,1433.0,0.65,810.0,830.0,180YD+Z,加磷高强、烘烤硬化钢,H180YD,软钢,normal_real,,,,,,
diagnostic_candidate,True,0002002055-000030,0002002055-000030,0002002055-000030,BR_00000001,BR_00000001,initial-000003,1,9,66.82,1430.0,0.6,815.0,835.0,DX51D+Z-MD,普碳,SPHC,软钢,normal_real,,,,,,
diagnostic_candidate,True,0030125168-000070,0030125168-000070,0030125168-000070,BR_00000006,BR_00000001,initial-000003,1,10,24.0,1405.0,0.5,820.0,840.0,DX53D+Z-LG,IF钢,SPHETI-5,软钢,normal_real,,,,,,
diagnostic_candidate,True,0030121346-000020,0030121346-000020,0030121346-000020,BR_00000002,BR_00000001,initial-000003,1,11,48.0,1393.0,0.5,820.0,840.0,DX53D+Z,IF钢,SPHETI-5,软钢,normal_real,,,,,,
diagnostic_candidate,True,0030125168-000010,0030125168-000010,0030125168-000010,BR_00000006,BR_00000001,initial-000003,1,12,72.0,1375.0,0.4,700.0,840.0,DC51D+Z,普碳,SPHC,软钢,normal_real,,,,,,
diagnostic_candidate,True,0002002054-000010,0002002054-000010,0002002054-000010,BR_00000001,BR_00000001,initial-000003,1,13,36.83,1365.0,0.5,820.0,840.0,DX53D+Z-CD,IF钢,SPHETI-5,软钢,normal_real,,,,,,
diagnostic_candidate,True,0030118802-000010,0030118802-000010,0030118802-000010,BR_00000001,BR_00000001,initial-000003,1,14,14.77,1350.0,0.6,820.0,840.0,HC180BD+Z,加磷高强、烘烤硬化钢,H180BH1,软钢,normal_real,,,,,,
