small_roll,chain_id,assigned_period,start,end,node_count,real_node_count,source_count,total_weight,real_weight,virtual_count,virtual_weight
01,initial-000001,BR_00000001,1,33,33,33,33,1833.20,1833.20,0,0
02,initial-000008,BR_00000001,34,51,18,18,18,721.02,721.02,0,0
03,initial-000014,BR_00000001,52,83,32,32,32,1924.69,1924.69,0,0
04,initial-000016,BR_00000001,84,108,25,25,25,1748.21,1748.21,0,0
05,initial-000018,BR_00000001,109,150,42,42,42,1967.97,1967.97,0,0
06,initial-000020,BR_00000001,151,172,22,22,22,781.07,781.07,0,0
07,initial-000024,BR_00000001,173,202,30,30,30,1724.51,1724.51,0,0
08,initial-000025,BR_00000001,203,227,25,25,25,1308.14,1308.14,0,0
09,initial-000026,BR_00000001,228,234,7,7,7,928.2,928.2,0,0
10,initial-000027,BR_00000001,235,255,21,21,21,700.07,700.07,0,0
11,initial-000028,BR_00000001,256,266,11,11,11,708.09,708.09,0,0
12,initial-000030,BR_00000002,267,292,26,18,18,719.07,559.07,8,160.0
13,initial-000006,BR_00000001,293,317,25,25,25,1550.40,1550.40,0,0
14,initial-000005,BR_00000001,318,339,22,21,21,1510.11,1490.11,1,20.0
15,initial-000013,BR_00000001,340,358,19,19,19,1025.79,1025.79,0,0
16,initial-000009,BR_00000001,359,392,34,32,32,1882.09,1842.09,2,40.0
17,initial-000004,BR_00000001,393,422,30,29,29,1874.70,1854.70,1,20.0
18,initial-000023,BR_00000001,423,468,46,46,46,1805.17,1805.17,0,0
19,initial-000017,BR_00000001,469,488,20,18,18,1545.57,1505.57,2,40.0
20,initial-000031,BR_00000001,489,508,20,16,16,707.17,627.17,4,80.0
21,split-chain-partition-14eed158aa2fb5d0bb6b46f70510931e923f66a097fc0e062e2687e39b166626,BR_00000006,509,515,7,6,5,786.0,766.0,1,20.0
22,initial-000003,BR_00000001,516,553,38,37,36,1982.67,1962.67,1,20.0
