source_order_id,input_weight,scheduled_weight,passed
0002001995-000010,19.16,19.16,True
0002001998-000190,42.46,42.46,True
0002002006-000190,7.7,7.7,True
0002002006-000230,21.76,21.76,True
0002002009-000020,8.14,8.14,True
0002002009-000050,8.22,8.22,True
0002002020-000080,13.01,13.01,True
0002002021-000070,19.0,19.0,True
0002002024-000070,6.04,6.04,True
0002002044-000070,18.71,18.71,True
0002002053-000020,8.8,8.8,True
0002002053-000050,13.67,13.67,True
0002002053-000070,25.67,25.67,True
0002002053-000100,92.0,92.0,True
0002002053-000120,18.57,18.57,True
0002002053-000130,23.0,23.0,True
0002002053-000150,18.76,18.76,True
0002002053-000180,60.0,60.0,True
0002002054-000010,36.83,36.83,True
0002002054-000040,36.52,36.52,True
0002002054-000060,50.0,50.0,True
0002002054-000100,75.01,75.01,True
0002002054-000200,52.56,52.56,True
0002002054-000230,2.05,2.05,True
0002002054-000260,293.39,293.39,True
0002002054-000270,12.7,12.7,True
0002002054-000310,11.7,11.7,True
0002002054-000320,23.0,23.0,True
0002002054-000340,102.32,102.32,True
0002002054-000350,98.97,98.97,True
0002002055-000010,70.55,70.55,True
0002002055-000030,66.82,66.82,True
0002002055-000040,346.03,346.03,True
0002002055-000050,280.12,280.12,True
0002002055-000070,491.0,491.0,True
0002002055-000080,5.45,5.45,True
0002002055-000100,18.26,18.26,True
0002002055-000110,15.3,15.3,True
0002002055-000120,570.3,570.3,True
0002002058-000020,18.91,18.91,True
0002002059-000020,20.43,20.43,True
0002002073-000010,600.0,600.0,True
0002002074-000010,150.0,150.0,True
0002002148-000010,300.0,300.0,True
0002002152-000010,23.0,23.0,True
0002002162-000010,72.0,72.0,True
0002002162-000040,168.0,168.0,True
0002002162-000070,18.0,18.0,True
0002002162-000080,18.0,18.0,True
0002002162-000100,24.0,24.0,True
0002002162-000110,24.0,24.0,True
0002002169-000010,25.0,25.0,True
0002002169-000030,30.0,30.0,True
0002002170-000010,23.0,23.0,True
0002002170-000020,69.0,69.0,True
0002002170-000030,23.0,23.0,True
0002002170-000040,23.0,23.0,True
0002002170-000050,23.0,23.0,True
0002002170-000060,32.0,32.0,True
0002002170-000070,16.0,16.0,True
0002002170-000080,23.0,23.0,True
0002002170-000090,25.0,25.0,True
0002002170-000120,23.0,23.0,True
0002002170-000130,55.0,55.0,True
0002002170-000140,16.0,16.0,True
0002002170-000150,23.0,23.0,True
0002002170-000160,23.0,23.0,True
0002002170-000170,100.0,100.0,True
0002002170-000180,46.0,46.0,True
0002002170-000190,40.0,40.0,True
0002002170-000200,126.53,126.53,True
0002002170-000210,45.97,45.97,True
0002002170-000220,46.0,46.0,True
0002002170-000230,23.0,23.0,True
0002002170-000240,80.0,80.0,True
0002002170-000250,69.0,69.0,True
0002002170-000260,23.0,23.0,True
0002002170-000270,46.0,46.0,True
0002002170-000280,19.0,19.0,True
0002002170-000290,50.0,50.0,True
0002002170-000300,23.0,23.0,True
0002002170-000310,23.0,23.0,True
0002002170-000320,23.0,23.0,True
0002002170-000330,23.0,23.0,True
0002002170-000340,23.0,23.0,True
0002002170-000350,23.0,23.0,True
0002002170-000360,40.0,40.0,True
0002002170-000370,23.0,23.0,True
0002002170-000380,20.0,20.0,True
0002002170-000410,23.0,23.0,True
0002002170-000420,23.0,23.0,True
0002002170-000430,23.0,23.0,True
0002002176-000010,15.0,15.0,True
0002002176-000030,15.0,15.0,True
0002002176-000070,100.0,100.0,True
0002002176-000080,15.0,15.0,True
0002002176-000090,20.0,20.0,True
0002002176-000100,23.0,23.0,True
0002002176-000110,35.0,35.0,True
0002002176-000120,25.0,25.0,True
0002002176-000140,23.0,23.0,True
0002002176-000150,23.0,23.0,True
0002002176-000160,13.76,13.76,True
0002002176-000170,17.0,17.0,True
0002002176-000180,15.0,15.0,True
0002002176-000190,15.0,15.0,True
0002002176-000200,15.0,15.0,True
0002002176-000210,15.0,15.0,True
0002002176-000220,15.0,15.0,True
0002002176-000230,15.0,15.0,True
0002002176-000240,69.0,69.0,True
0002002177-000010,30.0,30.0,True
0002002177-000020,15.0,15.0,True
0002002177-000030,15.0,15.0,True
0002002179-000010,41.0,41.0,True
0002002180-000010,39.0,39.0,True
0002002180-000030,89.0,89.0,True
0002002180-000040,20.0,20.0,True
0002002180-000050,20.0,20.0,True
0002002180-000060,20.0,20.0,True
0002002180-000130,34.0,34.0,True
0002002180-000140,20.0,20.0,True
0002002180-000160,20.0,20.0,True
0002002180-000170,20.0,20.0,True
0002002180-000270,20.0,20.0,True
