boundary_index,left_chain_id,right_chain_id,left_period,right_period,left_node_id,right_node_id,left_role,right_role,left_width,right_width,absolute_gap,cross_period
1,initial-000001,initial-000003,BR_00000001,BR_00000001,0002002195-000050,0002002187-000010,normal_real,normal_real,1063.0,1710.0,647.0,False
2,initial-000003,initial-000008,BR_00000001,BR_00000001,0002002180-000160,0002002193-000030,normal_real,normal_real,885.0,1655.0,770.0,False
3,initial-000008,initial-000004,BR_00000001,BR_00000001,0030125170-000010,0002002193-000020,normal_real,normal_real,1070.0,1640.0,570.0,False
4,initial-000004,initial-000014,BR_00000001,BR_00000001,0030123143-000060,0002002177-000030,normal_real,normal_real,1360.0,1590.0,230.0,False
5,initial-000014,initial-000016,BR_00000001,BR_00000001,0030123916-000020,0030125207-000060,actual_transition,normal_real,1000.0,1589.0,589.0,False
6,initial-000016,initial-000018,BR_00000001,BR_00000001,0030122897-000040,0030124871-000100,actual_transition,normal_real,1250.0,1585.0,335.0,False
7,initial-000018,initial-000024,BR_00000001,BR_00000001,0002002176-000070,0030124583-000010,normal_real,actual_transition,1063.0,1388.0,325.0,False
8,initial-000024,initial-000025,BR_00000001,BR_00000001,0030120745-000010,0030121196-000030,normal_real,normal_real,865.0,1500.0,635.0,False
9,initial-000025,initial-000026,BR_00000001,BR_00000001,0030124437-000010,0030122898-000030,actual_transition,actual_transition,910.0,1500.0,590.0,False
10,initial-000026,initial-000027,BR_00000001,BR_00000001,0010020206-000030,0002002185-000030,actual_transition,normal_real,1000.0,1373.0,373.0,False
11,initial-000027,initial-000006,BR_00000001,BR_00000001,0002002170-000070,0030119860-000010,normal_real,normal_real,890.0,1360.0,470.0,False
12,initial-000006,initial-000023,BR_00000001,BR_00000001,0002002009-000020,0030125102-000010,normal_real,normal_real,828.0,1182.0,354.0,False
13,initial-000023,initial-000005,BR_00000001,BR_00000001,0002002184-000190,0030123142-000040,normal_real,normal_real,840.0,1360.0,520.0,False
14,initial-000005,initial-000020,BR_00000001,BR_00000001,0030122080-000010,0030124871-000080,normal_real,normal_real,865.0,1575.0,710.0,False
15,initial-000020,initial-000019,BR_00000001,BR_00000001,0005000563-000170,0030122647-000590,normal_real,normal_real,900.0,1500.0,600.0,False
16,initial-000019,initial-000031,BR_00000001,BR_00000001,0002002170-000120,0030122066-000070,normal_real,normal_real,836.0,1299.0,463.0,False
17,initial-000031,initial-000009,BR_00000001,BR_00000001,0002002184-000200,0002002179-000010,normal_real,normal_real,830.0,1650.0,820.0,False
18,initial-000009,initial-000017,BR_00000001,BR_00000002,0002002202-000070,0030124871-000060,normal_real,normal_real,855.0,1250.0,395.0,True
19,initial-000017,initial-000030,BR_00000002,BR_00000002,0002002170-000290,0030124871-000050,normal_real,normal_real,883.0,1540.0,657.0,False
20,initial-000030,split-chain-partition-14eed158aa2fb5d0bb6b46f70510931e923f66a097fc0e062e2687e39b166626,BR_00000002,BR_00000006,virtual-000013,0030123647-000010,virtual_sphc,normal_real,1000.0,1675.0,675.0,True
21,split-chain-partition-14eed158aa2fb5d0bb6b46f70510931e923f66a097fc0e062e2687e39b166626,initial-000021,BR_00000006,BR_00000006,split-partition-14eed158aa2fb5d0bb6b46f70510931e923f66a097fc0e062e2687e39b166626:piece:0002,0002002202-000190,normal_real,normal_real,1065.0,1555.0,490.0,False
