small_roll,chain_id,assigned_period,start,end,node_count,real_node_count,source_count,total_weight,real_weight,virtual_count,virtual_weight
01,initial-000001,BR_00000001,1,37,37,37,37,1999.20,1999.20,0,0
02,initial-000003,BR_00000001,38,75,38,37,36,1982.67,1962.67,1,20.0
03,initial-000008,BR_00000001,76,93,18,18,18,721.02,721.02,0,0
04,initial-000004,BR_00000001,94,112,19,19,19,1498.55,1498.55,0,0
05,initial-000014,BR_00000001,113,143,31,31,31,1900.69,1900.69,0,0
06,initial-000016,BR_00000001,144,168,25,25,25,1748.21,1748.21,0,0
07,initial-000018,BR_00000001,169,210,42,42,42,1967.97,1967.97,0,0
08,initial-000024,BR_00000001,211,240,30,30,30,1724.51,1724.51,0,0
09,initial-000025,BR_00000001,241,265,25,25,25,1308.14,1308.14,0,0
10,initial-000026,BR_00000001,266,272,7,7,7,928.2,928.2,0,0
11,initial-000027,BR_00000001,273,293,21,21,21,700.07,700.07,0,0
12,initial-000006,BR_00000001,294,318,25,25,25,1550.40,1550.40,0,0
13,initial-000023,BR_00000001,319,344,26,26,26,1202.69,1202.69,0,0
14,initial-000005,BR_00000001,345,370,26,26,26,1990.03,1990.03,0,0
15,initial-000020,BR_00000001,371,394,24,24,24,1320.07,1320.07,0,0
16,initial-000019,BR_00000001,395,411,17,15,15,793.74,753.74,2,40.0
17,initial-000031,BR_00000001,412,430,19,18,18,773.52,753.52,1,20.0
18,initial-000009,BR_00000001,431,464,34,32,32,1882.09,1842.09,2,40.0
19,initial-000017,BR_00000002,465,481,17,17,17,1014.57,1014.57,0,0
20,initial-000030,BR_00000002,482,507,26,18,18,719.07,559.07,8,160.0
21,split-chain-partition-14eed158aa2fb5d0bb6b46f70510931e923f66a097fc0e062e2687e39b166626,BR_00000006,508,514,7,6,5,780.15,760.15,1,20.0
22,initial-000021,BR_00000006,515,549,35,34,34,1148.35,1128.35,1,20.0
